gene_symbol	immune_class	pairs	best_score	best_disease	n_coloc	n_repl	druggability
SLC12A2	Immune-cell-enriched	4	6.497072267719275	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	4	2	3
PPP3R1	Immune-cell-enriched	4	6.4290921059074	Varicose veins	4	2	2
ACE	Immune-cell-enriched	6	5.888730797957095	Cardiovascular diseases (excluding rheumatic etc)	4	0	3
PSRC1	Immune-cell-enriched	14	4.99437030782125	Coronary atherosclerosis	14	5	0
FES	Immune-cell-enriched	18	4.977663269899454	Hypertension	8	4	0
SPINK8	Immune-cell-enriched	2	4.591239703119182	Hypertension	1	0	1
CRIM1	Immune-cell-enriched	4	4.579759277165716	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	4	0	1
ANXA2	Immune-cell-enriched	2	4.519961047855456	Hypertension	2	0	3
PROCR	Immune-cell-enriched	6	4.500005481312039	Venous thromboembolism	0	0	3
LPL	Immune-cell-enriched	4	4.500000000037345	Statin medication	0	3	3
PLAUR	Immune-cell-enriched	10	4.4392179578402615	Major coronary heart disease event	9	4	3
IFNGR2	Interferon axis	3	4.375213421571028	Hypertension	3	0	3
LYPD3	Immune-cell-enriched	1	4.318057536667209	Statin medication	0	0	1
PILRA	Immune-cell-enriched	1	4.179839587124453	Statin medication	1	0	2
PLAU	Immune-cell-enriched	2	4.13933371246158	Atherosclerosis, excluding cerebral and coronary sclerosis	2	0	1
HAVCR1	Immune-cell-enriched	1	4.000013034013228	Statin medication	0	0	1
MAPT	Immune-cell-enriched	1	3.914769472271594	Hypertension	0	0	3
PVR	Immune-cell-enriched	1	3.867547582415308	Statin medication	0	0	2
SWAP70	Immune-cell-enriched	4	3.8634024219784457	Hypertension	0	0	0
MERTK	Immune-cell-enriched	2	3.733751282937091	Hypertension	2	0	1
EFNA1	Immune-cell-enriched	3	3.708050274949358	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	0	1	1
PIK3IP1	Immune-cell-enriched	2	3.683383035907171	Coronary atherosclerosis	1	0	1
ASGR1	Immune-cell-enriched	1	3.5989336257414397	Statin medication	0	0	1
PF4	Chemokine axis	1	3.5000000557994047	Statin medication	0	0	1
SORT1	Immune-cell-enriched	6	3.5	Statin medication	0	2	1
SCARB1	Immune-cell-enriched	4	3.4876549154171546	Coronary artery bypass grafting	4	2	1
LRP1	Immune-cell-enriched	2	3.38711356073159	Coronary atherosclerosis	1	1	1
ADM	Immune-cell-enriched	8	3.314599863952184	Varicose veins	0	1	1
TNFSF12	TNF superfamily	2	3.3055546741522357	Hypertension	0	1	1
CD79B	Ig/B-cell/Fc	1	3.288556465628511	Cardiovascular diseases (excluding rheumatic etc)	0	0	3
LCN2	Immune-cell-enriched	1	3.272462633921823	Statin medication	1	0	1
NGFR	Immune-cell-enriched	5	3.110626492667348	Cardiovascular diseases (excluding rheumatic etc)	1	0	1
AMIGO1	Immune-cell-enriched	1	3.0	Statin medication	0	0	1
JMJD1C	Immune-cell-enriched	2	2.8488509613708644	Hypertension	0	0	0
CDAN1	Immune-cell-enriched	1	2.819031528573628	Calcific aortic valvular stenosis, operated	1	0	1
VAT1	Immune-cell-enriched	1	2.791086830623585	Varicose veins	0	1	0
TMEM106A	Immune-cell-enriched	1	2.7817411239420267	Varicose veins	0	0	1
TSPAN15	Immune-cell-enriched	3	2.772678836244433	Venous thromboembolism	0	1	1
THBD	Immune-cell-enriched	2	2.69110572032592	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	2	1	1
MAPRE3	Immune-cell-enriched	2	2.652702272497021	Hypertension	0	0	0
STX3	Immune-cell-enriched	1	2.5770796784681886	Other embolism and thrombosis	0	0	1
IL1RN	Cytokine/Interleukin	1	2.450176868805957	Hypertension	0	0	1
PDLIM7	Immune-cell-enriched	2	2.406193039951964	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	2	0	0
SLC16A1	Immune-cell-enriched	3	2.362615220324251	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	1	0	1
IL6	Cytokine/Interleukin	1	2.3387479741787294	Calcific aortic valvular stenosis, operated	0	0	3
IL4	Cytokine/Interleukin	1	2.318871376559489	Varicose veins	0	0	3
LDLR	Immune-cell-enriched	3	2.29899835123375	Angina pectoris	0	0	1
PTPRM	Immune-cell-enriched	1	2.2513207940538256	Cardiomyopathy	1	0	1
BAG3	Immune-cell-enriched	4	2.032878206993759	AV-block	1	0	0
PFKFB2	Immune-cell-enriched	3	1.9447217330271476	Atrial fibrillation and flutter	3	0	0
CLINT1	Immune-cell-enriched	1	1.9285539341621012	Hypertension	0	0	0
MYL4	Immune-cell-enriched	4	1.860160638497733	Heart failure and bmi 25plus	1	0	0
CD14	HLA/Antigen presentation	1	1.828680674260456	Atrial fibrillation and flutter with reimbursement	0	0	1
HIP1R	Immune-cell-enriched	1	1.809687334725033	Other heart diseases	0	0	0
DENR	Immune-cell-enriched	2	1.7262054613051123	Atrial fibrillation and flutter	0	0	0
GSTM4	Immune-cell-enriched	1	1.6847717506629298	Statin medication	0	0	0
CDKN1A	Immune-cell-enriched	17	1.5	Heart failure, strict	0	1	0
ADAM15	Immune-cell-enriched	1	1.4225739125499732	Atrial fibrillation and flutter	0	0	1
PINLYP	Immune-cell-enriched	1	1.349952445339095	Statin medication	0	0	1
VNN2	Immune-cell-enriched	1	-0.1763590577485181	Major coronary heart disease event	0	0	1
IGF2R	Immune-cell-enriched	2	-0.5262746896753607	Statin medication	0	0	1
