olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
1	A1BG	Alpha-1B-glycoprotein	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2	AAMDC	Mth938 domain-containing protein	Predicted intracellular proteins				Immune cell enhanced	basophil: 144.6	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
3	AARSD1	Alanyl-tRNA editing protein Aarsd1	Predicted intracellular proteins	Protein biosynthesis			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
4	ABCA2	ATP-binding cassette sub-family A member 2	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Transport	Translocase	Disease variant, Epilepsy, Intellectual disability	Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
5	ABHD14B	Protein ABHD14B	Plasma proteins, Predicted intracellular proteins		Acyltransferase, Transferase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
6	ABL1	Tyrosine-protein kinase ABL1	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins	Apoptosis, Autophagy, Cell adhesion, DNA damage, DNA repair, Endocytosis	DNA-binding, Kinase, Transferase, Tyrosine-protein kinase	Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
7	ABO	Histo-blood group ABO system transferase	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins				Immune cell enhanced	eosinophil: 2.1;naive B-cell: 2.1	Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte;B-cell	1	0	2	1	Immune-cell-enriched
8	ABRAXAS2	BRISC complex subunit Abraxas 2	Predicted intracellular proteins	Cell cycle, Cell division, Mitosis, Ubl conjugation pathway			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
9	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Acyltransferase, Transferase		Low immune cell specificity		Low lineage specificity		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
10	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Oxidoreductase	Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
