gene_symbol	disease	immune_class	chr	OR	OR_l95	OR_u95	FDR	PP_H4	pQTL_OR	pQTL_MR_p	pQTL_PPH4	pQTL_concordant	final_tier	final_claim	protein_note	rep_gwas	rep_cite	rep_p	rep_status
TNFSF14	Multiple sclerosis	TNF superfamily	19	0.4980323826686125	0.3960396096414442	0.6262915328371719	3.1060109804865624e-06	0.9990245528450764	0.3454705111381559	2.4850927982100757e-09	0.9983486215033294	yes	5	protein-level causal target (pQTL-MR + pQTL-coloc)	colocalized at BOTH transcript and protein level, concordant direction	ieu-b-18	Patsopoulos/IMSGC 2019	1.55489e-12	replicated
SWAP70	Rheumatoid arthritis	Immune-cell-enriched	11	0.8293131115972837	0.7614145380182337	0.9032664898377588	0.0090140718967648	0.9660752635970076	0.7927391758780494	1.0355557635399748e-05	0.9727555430875652	yes	5	protein-level causal target (pQTL-MR + pQTL-coloc)	colocalized at BOTH transcript and protein level, concordant direction	ieu-a-833	Okada 2014	0.000969996	replicated
CTLA4	Autoimmune hyperthyroidism	Immune checkpoint	2	0.1541189153607358	0.1024016946546453	0.2319555369867322	1.3519679501728398e-15	0.8447370227532178					4	prioritized causal target (transcript-level)	no plasma pQTL in INTERVAL (transcript-level only)	ebi-a-GCST90018860	Sakaue 2021	4.36315e-19	replicated
IL6ST	Rheumatoid arthritis	Cytokine/Interleukin	5	2.632384596643061	2.111007969210416	3.282530793683117	2.434335264867885e-14	0.9999999994501394	0.8989943213580694	0.1161980605024952	0.0278578952724264	NO	4	prioritized causal target (transcript-level) — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ieu-a-833	Okada 2014	7.29962e-24	replicated
CTLA4	Rheumatoid arthritis	Immune checkpoint	2	0.5105947113703064	0.4329720283404455	0.602133491806849	2.96659030626192e-12	0.9848967890091272					4	prioritized causal target (transcript-level)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-833	Okada 2014	3.2998899999999997e-20	replicated
IFNGR2	Psoriasis	Interferon axis	21	0.8757486654865103	0.8279289546933061	0.9263303581229424	0.002834373120554	0.9737888978727246	1.2744800664128164	0.09482726858387	0.019616270274652	NO	4	prioritized causal target (transcript-level) — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ebi-a-GCST90019017	Stuart 2021	0.00261102	replicated
CA8	Rheumatoid arthritis	Immune-cell-enriched	8	0.746217049064143	0.6590186108878073	0.8449532002804017	0.002834373120554	0.8827742868653535					4	prioritized causal target (transcript-level)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-833	Okada 2014	0.00530005	replicated
PLAU	Sjogren syndrome	Immune-cell-enriched	10	1.6562031611902714	1.327226236970771	2.066722940466597	0.0049868266277554	0.9772632816690164	0.918616387014398	0.8078395904438995	0.0077410057527805	NO	4	prioritized causal target (transcript-level) — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)				not covered
MYL6B	Rheumatoid arthritis	Immune-cell-enriched	12	1.396184655655942	1.1955094898951553	1.630544641565376	0.0111243007983997	0.8096145801038143					4	prioritized causal target (transcript-level)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-833	Okada 2014	1.79999e-05	replicated
NUMB	Coeliac disease	Immune-cell-enriched	14	0.5647687861390079	0.4328905621311384	0.7368231366067589	0.0111243007983997	0.9018358607018012					4	prioritized causal target (transcript-level)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-1058	Trynka 2011		not covered
HAVCR1	Coeliac disease	Immune-cell-enriched	5	2.414271024768988	1.5991115006945622	3.644964455891564	0.0111927573037108	0.9123792884754937	1.0825559313050142	0.1413199480525842	0.0229459327791851	yes	4	prioritized causal target (transcript-level) — protein direction concordant	pQTL direction concordant but not independently significant	ieu-a-1058	Trynka 2011		not covered
NUMB	Rheumatoid arthritis	Immune-cell-enriched	14	0.7193194403952133	0.6156844910486744	0.840398718585843	0.0120853568117776	0.9025751114062138					4	prioritized causal target (transcript-level)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-833	Okada 2014	0.14	concordant (ns)
TNFRSF1A	Ankylosing spondylitis	TNF superfamily	12	1.4604796934690565	1.2158139302013475	1.7543810628014678	0.0180049287724168	0.8592172926938795	1.5648985037315444	0.0326548025939739	0.0435977979493565	yes	4	prioritized causal target (transcript-level) — protein-supported (concordant pQTL-MR)	direction concordant and pQTL-MR nominally significant	ebi-a-GCST005529	Cortes/IGAS 2013	5.87219e-06	replicated
CD226	Sarcoidosis	CD/Leukocyte surface	18	0.8056068854711766	0.7224481910027563	0.8983377105806796	0.0309394027354561	0.8036050546880004	1.2701494010002927	0.5686097480969918	0.010056133201374	NO	4	prioritized causal target (transcript-level) — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ebi-a-GCST005538	Fischer 2015	0.1784	concordant (ns)
SIGLEC7	Guillain-Barre	Immune-cell-enriched	19	3.0533665432002017	1.7384906324162128	5.362725040500716	0.0309394027354561	0.947669118664208	1.2103332044817958	0.6804142298296247	0.0595739943633753	yes	4	prioritized causal target (transcript-level) — protein direction concordant	pQTL direction concordant but not independently significant				not covered
SIGLEC9	Guillain-Barre	Immune-cell-enriched	19	2.9426871908214847	1.7069793515861404	5.072942385025597	0.0309394027354561	0.947765099372724	1.0372017367062554	0.541066855363284	0.0251888573298238	yes	4	prioritized causal target (transcript-level) — protein direction concordant	pQTL direction concordant but not independently significant				not covered
HNMT	Crohn's disease	Immune-cell-enriched	2	0.6415181114658792	0.5119179870843293	0.8039285544208735	0.0336836495915189	0.925597686868574					4	prioritized causal target (transcript-level)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-12	Liu/IIBDGC 2015		not covered
IL4	Psoriasis	Cytokine/Interleukin	5	1.7955955190555564	1.4822038448073327	2.175249564591092	3.1060109804865624e-06	4.305775456975156e-06	1.010566673062956	0.9438590429472562	0.023002206363789	yes	3	genetically-supported nomination — protein direction concordant	pQTL direction concordant but not independently significant	ebi-a-GCST90019017	Stuart 2021	0.000369496	replicated
ANXA11	Sarcoidosis	Immune-cell-enriched	10	0.7251670635232493	0.6339218705009846	0.8295458706975084	0.0024644762484149	1.4036874810500105e-18					3	genetically-supported nomination	no plasma pQTL in INTERVAL (transcript-level only)	ebi-a-GCST005538	Fischer 2015		not covered
TNFRSF14	Multiple sclerosis	TNF superfamily	1	0.7302166192022661	0.6350942863227397	0.8395860621681291	0.0058799013832512	0.0359298748437962	1.255235965375313	0.2506561107651226	0.1915093420649921	NO	3	genetically-supported nomination — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ieu-b-18	Patsopoulos/IMSGC 2019	7.97499e-09	replicated
LTBR	Sarcoidosis	Cytokine/Interleukin	12	1.391202658282484	1.1978575371711326	1.615755443659025	0.0083499146452382	0.7926753978617789	1.1525476271882114	0.3994026957255419	0.0193390624498069	yes	3	genetically-supported nomination (suggestive coloc) — protein direction concordant	pQTL direction concordant but not independently significant	ebi-a-GCST005538	Fischer 2015	0.0006092	replicated
TNFRSF14	Rheumatoid arthritis	TNF superfamily	1	0.8739742552963211	0.8214650748459353	0.9298398949754676	0.009890058224197	0.0832306904289751	0.8419359846709378	0.0485195108391445	0.2232088703897165	yes	3	genetically-supported nomination — protein-supported (concordant pQTL-MR)	direction concordant and pQTL-MR nominally significant	ieu-a-833	Okada 2014	6.19998e-05	replicated
ERBB3	Psoriasis	Immune-cell-enriched	12	0.7391027180989734	0.634961425031963	0.8603244328957338	0.0309394027354561	1.599947270527193e-05	1.3656775662899765	0.1178223130831419	0.0001691152871939	NO	3	genetically-supported nomination — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ebi-a-GCST90019017	Stuart 2021	4.35301e-10	replicated
ERBB3	Rheumatoid arthritis	Immune-cell-enriched	12	1.3135853777167552	1.142480298367527	1.5103162365397642	0.0356991335372866	0.5544326195978327	0.7937484898744926	0.2193659534875744	0.0088620348709584	NO	3	genetically-supported nomination (suggestive coloc) — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ieu-a-833	Okada 2014	8.60003e-09	replicated
TNFSF8	Coeliac disease	TNF superfamily	9	0.7603789611279782	0.6608056575755428	0.8749564382474537	0.0356991335372866	0.6884886543893418	1.1067511523070384	0.615093978852769	0.0076596399821888	NO	3	genetically-supported nomination (suggestive coloc) — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ieu-a-1058	Trynka 2011		not covered
C2	Rheumatoid arthritis	Complement/Coagulation	6	4.411784661989173	3.527636362726879	5.51753125957611	9.67869376349434e-35						2	genetically-supported nomination (MHC LD caution)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-833	Okada 2014	2.19989e-59	replicated
C2	Coeliac disease	Complement/Coagulation	6	3.676316273878641	2.522040899987243	5.358874769101999	2.2320264537290868e-08						2	genetically-supported nomination (MHC LD caution)	no plasma pQTL in INTERVAL (transcript-level only)	ieu-a-1058	Trynka 2011		not covered
KIAA0319	Ankylosing spondylitis	Immune-cell-enriched	6	0.6475203748690394	0.5571530450754603	0.7525448161442858	1.588174679485056e-05		9.60180911897189	9.769962616701378e-15	0.0570248238336972	NO	2	genetically-supported nomination (MHC LD caution) — transcript/protein DISCORDANT (caution)	eQTL and pQTL effects oppose — regulation may differ (e.g. soluble receptor)	ebi-a-GCST005529	Cortes/IGAS 2013		not covered
