gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
IL6ST	Reimbursement for rheumatic diseases	K11_REIMB_202	5824	6.375350736181379e-46	9.139918906932716e-17	6.975281573172978e-33	8.949783216831933e-12	0.9999999999910472
IL6ST	Second line medication for Crohn's disease	RX_CROHN_2NDLINE	5824	2.3532425082664252e-45	3.3736954201920346e-16	6.975268936215371e-33	3.3102594232449317e-10	0.9999999996689724
IL6ST	Rheumatoid arthritis	M13_RHEUMA	5824	1.1337897990498035e-43	1.6254908152905578e-14	6.975065076724527e-33	5.498378870368985e-10	0.9999999994501394
IL6ST	Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	5824	3.529515027231534e-38	5.0587212100076526e-09	6.977116564962454e-33	3.898430794427211e-09	0.9999999910428414
IL6ST	Other systemic involvement of connective tissue (FG)	OTHER_SYSTCON_FG	5824	9.21772455457514e-38	1.3212335332954327e-08	6.976798579224629e-33	2.7779219459815062e-08	0.9999999590084494
IL6ST	First line medication for Crohn's disease	RX_CROHN_1STLINE	5824	1.164832806717439e-37	1.6694719801879154e-08	6.977493229733975e-33	3.450866502335509e-08	0.9999999487966149
IL6ST	Polymyalgia rheumatica	M13_POLYMYALGIA	5824	1.1032786436288843e-39	1.5820273081485866e-10	6.974240399997743e-33	5.9185848905997765e-08	0.9999999406559414
IL6ST	Polyarthropathies	M13_POLYARTHROPATHIES	5824	8.053465593875169e-41	1.1546085848605849e-11	6.976471353018357e-33	2.023665687820769e-07	0.9999997976218884
IL6ST	Systemic connective tissue disorders	M13_SYSTCONNECT	5824	3.121415948765464e-36	4.475900353509037e-07	6.977765226649741e-33	5.655760856366657e-07	0.9999989868338747
IL6ST	Seropositive rheumatoid arthritis, wide	RHEUMA_SEROPOS_WIDE	5824	1.4676890520619752e-38	2.1045861931683444e-09	6.982510674374383e-33	1.2552722032578819e-06	0.9999987426232142
IL2RA	Dermatitis	L12_DERMATITISNAS	8103	6.741011706345105e-60	5.541302829358642e-12	1.2181874335758114e-51	1.3860099301459336e-06	0.9999986139845247
