gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
IL6ST	Rheumatoid arthritis	M13_RHEUMA	5824	1.1337897990498035e-43	1.6254908152905578e-14	6.975065076724527e-33	5.498378870368985e-10	0.9999999994501394
TNFSF14	Multiple sclerosis	G6_MS	6996	1.2679633162835442e-191	1.8912647800835657e-06	1.32247989096709e-188	0.0009735558901648618	0.9990245528450764
CTSH	Type 1 diabetes	T1D	6507	0.0	0.0001694884197113927	0.0	0.0014333298867772344	0.9983971816934452
ANXA2	Hypertension	I9_HYPTENS	5590	4.8616900216193084e-201	0.0014953496885119011	9.199697983743001e-201	0.0018329545150931707	0.9966716957964176
ACE	Dementia	F5_DEMENTIA	3675	1.4203884853943687e-16	1.1442882760134219e-05	7.734324757151364e-14	0.005236146553695184	0.9947524105634636
IL2RA	Type 1 diabetes	T1D	8103	3.506680011410365e-55	2.9699863209483745e-07	7.812761064305163e-51	0.0056226491402375485	0.9943770538611345
FES	Atrial fibrillation	I9_AF	5936	0.0	6.911311441951461e-05	0.0	0.009052169911374744	0.9908787169742405
PFKFB2	Atrial fibrillation	I9_AF	3971	3.721863233471297e-16	0.0024864168716543043	1.2881117313402059e-15	0.007615422724514738	0.9898981604038327
PSRC1	Coronary heart disease	I9_CHD	4665	0.0	1.976364060152501e-16	0.0	0.01188099333702006	0.9881190066630413
IFNGR2	Hypertension	I9_HYPTENS	4677	0.0	1.4682198884816503e-05	0.0	0.015043799186765213	0.9849415186142573
CTLA4	Rheumatoid arthritis	M13_RHEUMA	4428	9.64746693600204e-76	4.020076884184681e-12	3.860858692553168e-66	0.015103210986842471	0.9848967890091271
CD2	Type 1 diabetes	T1D	4886	4.0461998050758626e-15	0.004132133518908724	1.755922072837244e-14	0.016953231089741623	0.9789146353913296
ACE	Alzheimer's disease	G6_AD_WIDE	3675	1.273183664235733e-13	0.010258186120302396	1.6089004309162783e-13	0.011985337956553366	0.9777564759228554
FES	Hypertension	I9_HYPTENS	5936	0.0	1.3069672728308882e-29	0.0	0.022336730100593297	0.9776632698994542
