gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
IL6ST	Rheumatoid arthritis	M13_RHEUMA	5824	1.1337897990498035e-43	1.6254908152905578e-14	6.975065076724527e-33	5.498378870368985e-10	0.9999999994501394
TNFSF14	Multiple sclerosis	G6_MS	6996	1.2679633162835442e-191	1.8912647800835657e-06	1.32247989096709e-188	0.0009735558901648618	0.9990245528450764
CTLA4	Rheumatoid arthritis	M13_RHEUMA	4428	9.64746693600204e-76	4.020076884184681e-12	3.860858692553168e-66	0.015103210986842471	0.9848967890091271
PLAU	Sjogren syndrome	M13_SJOGREN	3997	1.3507838823574477e-163	0.004231686035856361	6.218885482868128e-163	0.018505032295116037	0.9772632816690164
IFNGR2	Psoriasis	L12_PSORIASIS	4677	0.0	0.0027905061926923437	0.0	0.02342059593465383	0.9737888978727246
SWAP70	Rheumatoid arthritis	M13_RHEUMA	5601	2.992645095857852e-259	0.015417811196291783	3.7797699438079146e-259	0.01850692520668916	0.9660752635970075
SIGLEC9	Guillain-Barre	G6_GUILBAR	6809	1.7314273158051818e-72	0.03364756706684096	1.0052317711214151e-72	0.01858733356042663	0.947765099372724
SIGLEC7	Guillain-Barre	G6_GUILBAR	6843	2.2951370180895977e-89	0.03364415955866298	1.3394187271633976e-89	0.018686721777116184	0.9476691186642079
HNMT	Crohn's disease	CHRONNAS	5477	3.8615895438954777e-202	0.04583131757692715	2.485281725759367e-202	0.02857099555450297	0.925597686868574
HAVCR1	Coeliac disease	K11_COELIAC	6291	1.36101476438033e-23	0.014749913807950592	6.808174920493959e-23	0.07287079771655747	0.9123792884754937
NUMB	Rheumatoid arthritis	M13_RHEUMA	5646	4.052229938375636e-68	0.025589713193613497	1.1518303782577105e-67	0.07183517540015975	0.9025751114062138
NUMB	Coeliac disease	K11_COELIAC	5646	1.9504002827241543e-68	0.012317704219704705	1.3735826834920108e-67	0.08584643507848731	0.9018358607018011
CA8	Rheumatoid arthritis	M13_RHEUMA	5319	5.075756844399299e-116	0.0038231894418444224	1.5172786812121791e-114	0.11340252369282221	0.8827742868653535
TNFRSF1A	Ankylosing spondylitis	M13_ANKYLOSPON	5382	4.581988026472075e-208	0.022402332314780324	2.4388281382927357e-207	0.11838037499131265	0.8592172926938795
CTLA4	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	4428	8.055215407586971e-80	3.356503357413008e-16	3.746402524668888e-65	0.15526297724678045	0.8447370227532178
MYL6B	Rheumatoid arthritis	M13_RHEUMA	3502	5.401179109409695e-31	0.019826364486615646	4.6684952300779125e-30	0.1705590554095652	0.8096145801038143
CD226	Sarcoidosis	D3_SARCOIDOSIS	6361	0.0	0.0465147752648065	0.0	0.14988017004715493	0.8036050546880004
LTBR	Sarcoidosis	D3_SARCOIDOSIS	5373	2.83733667505327e-200	0.006894689537250272	8.280811277920409e-199	0.2004299126009794	0.7926753978617789
TNFSF8	Coeliac disease	K11_COELIAC	6575	4.378666615301342e-284	0.04501268748016996	2.5990970660879757e-283	0.2664986581304466	0.6884886543893418
ERBB3	Rheumatoid arthritis	M13_RHEUMA	3989	7.925642685935415e-89	0.044302262549374846	7.188522657772004e-88	0.4012651178527962	0.5544326195978327
TNFRSF14	Rheumatoid arthritis	M13_RHEUMA	6039	0.0	0.0016787207600006669	0.0	0.9150905888109896	0.08323069042897513
TNFRSF14	Multiple sclerosis	G6_MS	6039	0.0	0.00018981598521476697	0.0	0.9638803091709542	0.03592987484379623
ERBB3	Psoriasis	L12_PSORIASIS	3989	2.289206011366682e-93	1.279472939061246e-06	1.7891480335693356e-87	0.9999827210543634	1.599947270527193e-05
IL4	Psoriasis	L12_PSORIASIS	4756	4.4719644638771936e-61	9.454723423232078e-12	4.729853034967599e-50	0.9999956942150776	4.305775456975156e-06
ANXA11	Sarcoidosis	D3_SARCOIDOSIS	6924	1.2776769614664218e-296	1.6924879481222907e-28	7.549105226327133e-269	1.0	1.4036874810500103e-18
