gene_symbol	disease	immune_class	chr	OR	OR_l95	OR_u95	MR_p	FDR	PP_H4	nsnp	evidence_tier	claim_label	allowed_language	pQTL_OR	pQTL_MR_p	pQTL_FDR	pQTL_PPH4	dir
CTLA4	Autoimmune hyperthyroidism	Immune checkpoint	2	0.1541189153607358	0.1024016946546453	0.2319555369867322	3.090565665042496e-19	1.3519679501728398e-15	0.8447370227532178	4428.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)					no pQTL
IL6ST	Rheumatoid arthritis	Cytokine/Interleukin	5	2.632384596643061	2.111007969210416	3.282530793683117	8.347246307696489e-18	2.434335264867885e-14	0.9999999994501394	5824.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	0.8989943213580694	0.1161980605024952	0.5939206394191032	0.0278578952724264	DISCORDANT
CTLA4	Rheumatoid arthritis	Immune checkpoint	2	0.5105947113703064	0.4329720283404455	0.602133491806849	1.3563105754997917e-15	2.96659030626192e-12	0.9848967890091272	4428.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)					no pQTL
TNFSF14	Multiple sclerosis	TNF superfamily	19	0.4980323826686125	0.3960396096414442	0.6262915328371719	2.485092794994392e-09	3.1060109804865624e-06	0.9990245528450764	6996.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	0.3454705111381559	2.4850927982100757e-09	3.069089605789444e-07	0.9983486215033294	concordant
IFNGR2	Psoriasis	Interferon axis	21	0.8757486654865103	0.8279289546933061	0.9263303581229424	3.637069704162429e-06	0.002834373120554	0.9737888978727246	4677.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	1.2744800664128164	0.09482726858387	0.5712764717125828	0.019616270274652	DISCORDANT
CA8	Rheumatoid arthritis	Immune-cell-enriched	8	0.746217049064143	0.6590186108878073	0.8449532002804017	3.887584574997024e-06	0.002834373120554	0.8827742868653535	5319.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)					no pQTL
PLAU	Sjogren syndrome	Immune-cell-enriched	10	1.6562031611902714	1.327226236970771	2.066722940466597	7.979834585504233e-06	0.0049868266277554	0.9772632816690164	3997.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	0.918616387014398	0.8078395904438995	0.9939042442749216	0.0077410057527805	DISCORDANT
SWAP70	Rheumatoid arthritis	Immune-cell-enriched	11	0.8293131115972837	0.7614145380182337	0.9032664898377588	1.7515055691507833e-05	0.0090140718967648	0.9660752635970076	5601.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)	0.7927391758780494	1.0355557635399748e-05	0.0008526075786479	0.9727555430875652	concordant
MYL6B	Rheumatoid arthritis	Immune-cell-enriched	12	1.396184655655942	1.1955094898951553	1.630544641565376	2.491243482814952e-05	0.0111243007983997	0.8096145801038143	3502.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)					no pQTL
NUMB	Coeliac disease	Immune-cell-enriched	14	0.5647687861390079	0.4328905621311384	0.7368231366067589	2.5429879525430923e-05	0.0111243007983997	0.9018358607018012	5646.0	4	prioritized causal target (transcript-level)	colocalized cis-eQTL/GWAS signal (PP.H4≥0.8)					no pQTL
