gene_symbol	disease	fin_OR	fin_FDR	uk_OR	uk_p	uk_FDR	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated	uk_id	uk_label	uk_caveat
FES	Hypertension	0.8468839990603911	1.4824127620138616e-29	0.9746241877066327	0.0	0.0	protective	protective	True	True	True	ieu-b-5144	Tang UKB, hypertension	
ACE	Hypertension	1.6114209191709736	7.261655342004011e-09	1.1102604280918689	0.0	0.0	risk	risk	True	True	True	ieu-b-5144	Tang UKB, hypertension	
PSRC1	Coronary heart disease	0.8503219654685883	2.2447716911302464e-16	0.9934118306305958	4.114264484655905e-12	2.063989349802379e-09	protective	protective	True	True	True	ukb-d-I9_CHD	Neale UKB, major CHD event	
SWAP70	Hypertension	0.8981950163318115	5.031927448444981e-06	0.9802571375718738	4.205258363754183e-11	1.5822284593625113e-08	protective	protective	True	True	True	ieu-b-5144	Tang UKB, hypertension	
MERTK	Hypertension	1.062439129279221	5.031927448444981e-06	1.0126386842028496	1.570179097853952e-09	4.7262390845403957e-07	risk	risk	True	True	True	ieu-b-5144	Tang UKB, hypertension	
TNFSF12	Hypertension	1.059272096895342	9.45764429027128e-06	1.0104184696765506	2.1669874783469822e-09	5.435526924853681e-07	risk	risk	True	True	True	ieu-b-5144	Tang UKB, hypertension	
FES	Coronary heart disease	0.8904816949537475	1.5862140255712516e-06	0.994259221784526	9.915787746450633e-09	2.131894365486886e-06	protective	protective	True	True	True	ukb-d-I9_CHD	Neale UKB, major CHD event	
SPINK8	Hypertension	0.8476635987428299	1.6181736097945674e-06	0.9763757205334892	2.3641726354384218e-08	4.447599770418531e-06	protective	protective	True	True	True	ieu-b-5144	Tang UKB, hypertension	
NGFR	Hypertension	0.6333947538585684	1.0035657120076827e-05	0.9286628598536463	1.986480238080901e-07	2.989652758311756e-05	protective	protective	True	True	True	ieu-b-5144	Tang UKB, hypertension	
TSPAN15	Venous thromboembolism	0.7318646631299554	5.469846078904368e-08	0.9934372973952109	2.3269741955544987e-07	3.183723785735928e-05	protective	protective	True	True	True	ukb-d-I9_VTE	Neale UKB, VTE	
C2	Psoriasis	1.6201595163871174	0.0059591516846031	1.007125465660971	9.835494556575952e-07	0.00012335349423039008	risk	risk	True	True	True	ukb-b-10537	UKB, psoriasis (self-report)	self-report
IL6ST	Rheumatoid arthritis	2.632384596643061	1.747727882469251e-14	1.0061881089410636	7.827595569942503e-06	0.0008677602491735659	risk	risk	True	True	True	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
IL1RL1	Coeliac disease	0.7121080698308815	0.0443392728593514	0.9972384739968655	8.072188364405264e-06	0.0008677602491735659	protective	protective	True	True	True	ukb-b-8631	UKB, coeliac (self-report)	self-report
JMJD1C	Hypertension	1.6671465461882875	5.178939659045666e-05	1.0764098134778919	1.5023909709643846e-05	0.0015073989408675992	risk	risk	True	True	True	ieu-b-5144	Tang UKB, hypertension	
LPL	Coronary heart disease	0.9316830096525952	0.0023056521538664	0.9969542341908159	2.6257988905431517e-05	0.0023246043119220256	protective	protective	True	True	True	ukb-d-I9_CHD	Neale UKB, major CHD event	
C2	Rheumatoid arthritis	4.411784661989173	1.042320866837852e-34	1.0042539322718307	3.296487993065256e-05	0.002756230238646228	risk	risk	True	True	True	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
IFNGR2	Psoriasis	0.8757486654865103	0.0011422823584206	0.9977546759198366	4.340952559811484e-05	0.0032665668012581417	protective	protective	True	True	True	ukb-b-10537	UKB, psoriasis (self-report)	self-report
SORT1	Coronary heart disease	0.7139935677466863	0.0129360834268435	0.9809537473016124	4.693184241988391e-05	0.0033456342159417355	protective	protective	True	True	True	ukb-d-I9_CHD	Neale UKB, major CHD event	
ADM	Hypertension	1.0699589450331417	0.0017384306889075	1.010369346539529	9.648174830179101e-05	0.006204822198822106	risk	risk	True	True	True	ieu-b-5144	Tang UKB, hypertension	
ERBB3	Psoriasis	0.7391027180989734	0.0150069051666599	0.9949684206650757	0.00017071001559809673	0.010084170141158118	protective	protective	True	True	True	ukb-b-10537	UKB, psoriasis (self-report)	self-report
SLC16A1	Hypertension	0.8276151343209475	0.0010533075436071	0.9736009826160157	0.00017421157718944258	0.010084170141158118	protective	protective	True	True	True	ieu-b-5144	Tang UKB, hypertension	
ERBB2	Atrial fibrillation	1.6536516909796315	0.0187891603626897	1.013216459687438	0.0001850008308781348	0.010312083350799736	risk	risk	True	True	True	ukb-b-964	UKB, AF/flutter (ICD I48)	
MPO	Hypertension	1.071594531946834	0.0124510329798526	1.0109897386572009	0.0003401331884576031	0.015055895547902725	risk	risk	True	True	True	ieu-b-5144	Tang UKB, hypertension	
MAPRE3	Hypertension	0.8382669413697186	5.537486089312875e-05	0.9801962770335965	0.0005135353302661017	0.02208201920144237	protective	protective	True	True	True	ieu-b-5144	Tang UKB, hypertension	
PHOSPHO1	Coronary heart disease	0.8505198613697235	0.0368286582055251	0.9915899387880969	0.0005301679514611024	0.022163965748582197	protective	protective	True	True	True	ukb-d-I9_CHD	Neale UKB, major CHD event	
HIP1R	Atrial fibrillation	1.4647311240006111	0.008565631038483	1.0102263399973217	0.000891782523095408	0.036273856682664564	risk	risk	True	True	True	ukb-b-964	UKB, AF/flutter (ICD I48)	
DPEP2	Osteoporosis	0.8037253365658946	0.0315021171172835	0.9965445309893982	0.0016212653615608197	0.06100010922872584	protective	protective	True	True	False	ukb-b-12141	UKB, osteoporosis (self-report)	self-report
AAMDC	Hypertension	0.9468317704952888	0.0079503976381341	0.990647015576748	0.0017460707319520985	0.06409357198994899	protective	protective	True	True	False	ieu-b-5144	Tang UKB, hypertension	
SLC12A2	Hypertension	1.1212092156400697	0.045551128494679	1.0148339970090927	0.002183500911193903	0.0764225318917866	risk	risk	True	True	False	ieu-b-5144	Tang UKB, hypertension	
IL1RN	Hypertension	0.8305428779673497	0.0055373746945546	0.9718604697303896	0.0025426632811411665	0.08697064177539672	protective	protective	True	True	False	ieu-b-5144	Tang UKB, hypertension	
SCARB1	Coronary heart disease	0.9072242638039276	0.0037890983792303	0.9963736688621365	0.0029938520838368454	0.0960596484487645	protective	protective	True	True	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
CTLA4	Rheumatoid arthritis	0.5105947113703064	2.3234833167925524e-12	0.9968721952858346	0.0029998694199946385	0.0960596484487645	protective	protective	True	True	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
