Rank	Disease	Category	Protein	Gene	Protein_class	Immune_class	Plasma_detectability	PIRS_coefficient	PIRS_direction	CV_stability	Sensitivity_contrib	Specificity_contrib	AUROC_contrib	MR_OR	MR_FDR	MR_support	Coloc_PP_H4	Coloc_support	pQTL_support	Protein_level_causal	Replication	Known_drug_status	Druggability	Novelty_score_PINS	Novelty_tier	Novelty_tier_label	Causal_predictive_concordance	Therapeutic_direction	Biomarker_or_target	Best_figure_panel	Best_validation_experiment	Final_recommendation
1	Type 1 diabetes, definitions combined	Metabolic/Endocrine	Interleukin-2 receptor subunit alpha	IL2RA	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.302	1.58e-06	yes	0.994	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	not tested	not an approved target	High (FDA-precedented class, tractable)	6.154	5	Novel protein-level plasma-immune target	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Therapeutic target (protein-level)	Panel E (novelty-priority map) + Panel D (concordance)	cis-pQTL colocalization already met; confirm with CRISPRi/CRISPRa over-expression/supplementation in primary immune cells + plasma NPX dose-response	Advance: protein-level causal + druggable + plasma-measurable — target-validation package
2	Varicose veins	Cardiovascular	Calcineurin subunit B type 1	PPP3R1	FDA approved drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.415	3.27e-36	yes	0.929	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	replicated (FinnGen + UK Biobank)	not an approved target	Moderate	5.596	5	Novel protein-level plasma-immune target	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Therapeutic target (protein-level)	Panel E (novelty-priority map) + Panel D (concordance)	cis-pQTL colocalization already met; confirm with CRISPRi/CRISPRa neutralization/knockdown in primary immune cells + plasma NPX dose-response	Advance: protein-level causal + druggable + plasma-measurable — target-validation package
3	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Cardiovascular	Calcineurin subunit B type 1	PPP3R1	FDA approved drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.246	1.68e-24	yes	0.896	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	replicated (FinnGen + UK Biobank)	not an approved target	Moderate	5.563	5	Novel protein-level plasma-immune target	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Therapeutic target (protein-level)	Panel E (novelty-priority map) + Panel D (concordance)	cis-pQTL colocalization already met; confirm with CRISPRi/CRISPRa neutralization/knockdown in primary immune cells + plasma NPX dose-response	Advance: protein-level causal + druggable + plasma-measurable — target-validation package
4	Hypertension	Cardiovascular	Annexin A2	ANXA2	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.11	2.42e-03	yes	0.997	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	not tested	not an approved target	High (FDA-precedented class, tractable)	4.02	5	Novel protein-level plasma-immune target	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Therapeutic target (protein-level)	Panel E (novelty-priority map) + Panel D (concordance)	cis-pQTL colocalization already met; confirm with CRISPRi/CRISPRa neutralization/knockdown in primary immune cells + plasma NPX dose-response	Advance: protein-level causal + druggable + plasma-measurable — target-validation package
5	Hypertension, essential	Cardiovascular	Annexin A2	ANXA2	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.098	4.02e-02	yes	0.942	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	not tested	not an approved target	High (FDA-precedented class, tractable)	3.721	5	Novel protein-level plasma-immune target	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Therapeutic target (protein-level)	Panel E (novelty-priority map) + Panel D (concordance)	cis-pQTL colocalization already met; confirm with CRISPRi/CRISPRa neutralization/knockdown in primary immune cells + plasma NPX dose-response	Advance: protein-level causal + druggable + plasma-measurable — target-validation package
6	Antihypertensive medication - note that there are other indications	Medication/Other	Angiotensin-converting enzyme	ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	2.121	1.25e-25	yes	0.998	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	6.998	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
7	Disorders of the thyroid gland	Metabolic/Endocrine	Receptor tyrosine-protein kinase erbB-3	ERBB3	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.78	2.18e-08	yes	0.917	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Moderate	6.616	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
8	Cardiovascular diseases (excluding rheumatic etc)	Cardiovascular	Angiotensin-converting enzyme	ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.584	1.10e-07	yes	0.997	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	6.389	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
9	Asthma/COPD (KELA code 203)	Respiratory	Receptor tyrosine-protein kinase erbB-2	ERBB2	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	2.535	1.11e-17	yes	0.868	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	6.368	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
10	Type 1 diabetes, definitions combined	Metabolic/Endocrine	Receptor tyrosine-protein kinase erbB-3	ERBB3	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.424	3.58e-07	yes	0.901	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Moderate	6.357	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
11	Otosclerosis	Other	Latent-transforming growth factor beta-binding protein 3	LTBP3	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.336	4.93e-27	yes	1.0	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	6.333	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
12	Asthma/COPD (KELA code 203)	Respiratory	Receptor tyrosine-protein kinase erbB-3	ERBB3	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.799	2.78e-05	yes	0.983	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Moderate	6.061	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
13	Dermatitis and eczema	Dermatological	Interleukin-2 receptor subunit alpha	IL2RA	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.487	4.43e-14	yes	1.0	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	6.0	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
14	Dermatitis	Dermatological	Interleukin-2 receptor subunit alpha	IL2RA	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.647	6.00e-11	yes	1.0	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	6.0	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
15	Dementia	Neurological/Psychiatric	Angiotensin-converting enzyme	ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.44	3.08e-05	yes	0.995	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	5.897	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
16	Any dementia (more control exclusions)	Other	Angiotensin-converting enzyme	ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.414	3.94e-05	yes	0.994	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	5.875	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
17	Hypertension, essential	Cardiovascular	Angiotensin-converting enzyme	ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.534	2.42e-05	yes	0.917	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	5.84	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
