gene	accession	n_cis	status
PVR	GCST90242302	4002	ok
RTN4R	GCST90242633	3983	ok
RELB	GCST90243044	3812	ok
SATB1	GCST90240942	3536	ok
SELP	GCST90242187	4539	ok
SNCA	GCST90240258	4763	ok
SORT1	GCST90242862	3276	ok
SNCA	GCST90240259	4763	ok
SERPING1	GCST90242274	3023	ok
SPINK8	GCST90242766	1764	ok
TG	GCST90243017	6109	ok
TGFB2	GCST90243060	4535	ok
TLR4	GCST90243030	2276	ok
TGFA	GCST90243056	4499	ok
TLR1	GCST90243028	4240	ok
TNFRSF1B	GCST90243171	3652	ok
TNFRSF4	GCST90243177	3567	ok
TLR4	GCST90243031	2276	ok
TNFSF12	GCST90243141	3318	ok
TNFRSF1B	GCST90243172	3652	ok
UBE2B	GCST90243234	3854	ok
XCL1	GCST90241835	3786	ok
XCL1	GCST90241836	3786	ok
