accession	trait	soma_target	gene_token	full_pvalue	gene_token_u
GCST90240213	Adrenomedullin levels (ADM.14115.34.3)	ADM.14115.34.3	ADM	True	ADM
GCST90240267	Amphoterin-induced protein 1 levels (AMIGO1.9979.13.3)	AMIGO1.9979.13.3	AMIGO1	True	AMIGO1
GCST90240298	Annexin A2 levels (ANXA2.13700.10.3)	ANXA2.13700.10.3	ANXA2	True	ANXA2
GCST90240299	Annexin A2 levels (ANXA2.4961.17.1)	ANXA2.4961.17.1	ANXA2	True	ANXA2
GCST90240343	Asialoglycoprotein receptor 1 levels (ASGR1.5452.71.3)	ASGR1.5452.71.3	ASGR1	True	ASGR1
GCST90240376	BAG family molecular chaperone regulator 3 levels (BAG3.10078.5.3)	BAG3.10078.5.3	BAG3	True	BAG3
GCST90240457	Bone morphogenetic protein 6 levels (BMP6.8459.10.3)	BMP6.8459.10.3	BMP6	True	BMP6
GCST90240458	Bone morphogenetic protein 6 levels (BMP6.3736.60.3)	BMP6.3736.60.3	BMP6	True	BMP6
GCST90240587	Carbonic anhydrase 4 levels (CA4.3177.49.2)	CA4.3177.49.2	CA4	True	CA4
GCST90240543	Calbindin levels (CALB1.9918.23.3)	CALB1.9918.23.3	CALB1	True	CALB1
GCST90240616	Caspase-3 levels (CASP3.3593.72.3)	CASP3.3593.72.3	CASP3	True	CASP3
GCST90240502	C-C motif chemokine 8 levels (CCL8.2785.15.2)	CCL8.2785.15.2	CCL8	True	CCL8
GCST90242957	T-cell surface antigen CD2 levels (CD2.7100.31.3)	CD2.7100.31.3	CD2	True	CD2
GCST90240639	CD226 antigen levels (CD226.5721.1.3)	CD226.5721.1.3	CD226	True	CD226
GCST90240640	CD226 antigen levels (CD226.5062.60.3)	CD226.5062.60.3	CD226	True	CD226
GCST90242383	Programmed cell death 1 ligand 1 levels (CD274.5060.62.3)	CD274.5060.62.3	CD274	True	CD274
GCST90242961	T-cell surface glycoprotein CD5 levels (CD5.14065.11.3)	CD5.14065.11.3	CD5	True	CD5
GCST90240777	Complement decay-accelerating factor levels (CD55.5069.9.3)	CD55.5069.9.3	CD55	True	CD55
GCST90240646	CD70 antigen levels (CD70.5807.77.3)	CD70.5807.77.3	CD70	True	CD70
GCST90240647	CD70 antigen levels (CD70.8762.38.3)	CD70.8762.38.3	CD70	True	CD70
GCST90240368	B-cell antigen receptor complex-associated protein beta chain levels (CD79B.6351.55.3)	CD79B.6351.55.3	CD79B	True	CD79B
GCST90242829	SLAM family member 5 levels (CD84.8770.136.3)	CD84.8770.136.3	CD84	True	CD84
GCST90242830	SLAM family member 5 levels (CD84.3642.4.1)	CD84.3642.4.1	CD84	True	CD84
GCST90240535	Cadherin-2 levels (CDH2.3797.1.1)	CDH2.3797.1.1	CDH2	True	CDH2
GCST90240600	Carcinoembryonic antigen-related cell adhesion molecule 1 levels (CEACAM1.8031.11.3)	CEACAM1.8031.11.3	CEACAM1	True	CEACAM1
GCST90240633	CCAAT/enhancer-binding protein beta levels (CEBPB.10337.83.3)	CEBPB.10337.83.3	CEBPB	True	CEBPB
GCST90240779	Complement factor H levels (CFH.4159.130.1)	CFH.4159.130.1	CFH	True	CFH
GCST90240504	C-type lectin domain family 10 member A levels (CLEC10A.10955.4.3)	CLEC10A.10955.4.3	CLEC10A	True	CLEC10A
GCST90240712	Clathrin interactor 1 levels (CLINT1.11659.31.3)	CLINT1.11659.31.3	CLINT1	True	CLINT1
GCST90242371	Probable serine carboxypeptidase CPVL levels (CPVL.8891.7.3)	CPVL.8891.7.3	CPVL	True	CPVL
GCST90240839	Cysteine-rich motor neuron 1 protein levels (CRIM1.8699.43.3)	CRIM1.8699.43.3	CRIM1	True	CRIM1
GCST90240841	Cysteine-rich secretory protein 3 levels (CRISP3.3187.52.2)	CRISP3.3187.52.2	CRISP3	True	CRISP3
GCST90240859	Cytokine receptor common subunit beta levels (CSF2RB.10512.13.3)	CSF2RB.10512.13.3	CSF2RB	True	CSF2RB
GCST90240860	Cytokine receptor common subunit beta levels (CSF2RB.11137.43.3)	CSF2RB.11137.43.3	CSF2RB	True	CSF2RB
GCST90240624	Cathepsin H levels (CTSH.8465.52.3)	CTSH.8465.52.3	CTSH	True	CTSH
GCST90240625	Cathepsin H levels (CTSH.3737.6.3)	CTSH.3737.6.3	CTSH	True	CTSH
GCST90240877	Death-associated protein kinase 2 levels (DAPK2.4355.13.1)	DAPK2.4355.13.1	DAPK2	True	DAPK2
GCST90240963	Docking protein 2 levels (DOK2.14246.50.3)	DOK2.14246.50.3	DOK2	True	DOK2
GCST90240913	Dipeptidase 2 levels (DPEP2.8327.26.3)	DPEP2.8327.26.3	DPEP2	True	DPEP2
GCST90240897	Desmoglein-2 levels (DSG2.9484.75.3)	DSG2.9484.75.3	DSG2	True	DSG2
GCST90240976	Dual specificity protein phosphatase 13 isoform A levels (DUSP13.6525.17.3)	DUSP13.6525.17.3	DUSP13	True	DUSP13
GCST90242598	Receptor tyrosine-protein kinase erbB-2 levels (ERBB2.2616.23.18)	ERBB2.2616.23.18	ERBB2	True	ERBB2
GCST90242599	Receptor tyrosine-protein kinase erbB-3 levels (ERBB3.2617.56.35)	ERBB3.2617.56.35	ERBB3	True	ERBB3
GCST90242444	Protein EVI2B levels (EVI2B.13028.2.3)	EVI2B.13028.2.3	EVI2B	True	EVI2B
GCST90241152	Fc receptor-like protein 3 levels (FCRL3.4440.15.2)	FCRL3.4440.15.2	FCRL3	True	FCRL3
GCST90241176	Fibroblast growth factor receptor 2 levels (FGFR2.3808.76.2)	FGFR2.3808.76.2	FGFR2	True	FGFR2
GCST90241247	GDNF family receptor alpha-2 levels (GFRA2.2515.14.3)	GFRA2.2515.14.3	GFRA2	True	GFRA2
GCST90241324	Granzyme B levels (GZMB.4133.54.2)	GZMB.4133.54.2	GZMB	True	GZMB
GCST90241325	Granzyme B levels (GZMB.14041.13.3)	GZMB.14041.13.3	GZMB	True	GZMB
GCST90241394	Hepatitis A virus cellular receptor 1 levels (HAVCR1.9021.1.3)	HAVCR1.9021.1.3	HAVCR1	True	HAVCR1
