accession	trait	soma_target	gene_token	full_pvalue
GCST90240424	Beta-defensin 119 levels (DEFB119.10689.5.3)	DEFB119.10689.5.3	DEFB119	True
GCST90240425	Beta-defensin 119 levels (DEFB119.8315.5.3)	DEFB119.8315.5.3	DEFB119	True
GCST90240426	Beta-defensin 119 levels (DEFB119.8370.102.3)	DEFB119.8370.102.3	DEFB119	True
GCST90240427	Beta-defensin 121 levels (DEFB121.5765.53.3)	DEFB121.5765.53.3	DEFB121	True
GCST90240428	Beta-defensin 123 levels (DEFB123.9362.11.3)	DEFB123.9362.11.3	DEFB123	True
GCST90240429	Beta-defensin 125 levels (DEFB125.9486.13.3)	DEFB125.9486.13.3	DEFB125	True
GCST90240430	Beta-defensin 128 levels (DEFB128.6360.7.3)	DEFB128.6360.7.3	DEFB128	True
GCST90240431	Beta-defensin 134 levels (DEFB134.10610.8.3)	DEFB134.10610.8.3	DEFB134	True
GCST90240432	Beta-defensin 135 levels (DEFB135.6411.58.3)	DEFB135.6411.58.3	DEFB135	True
GCST90240433	Beta-defensin 136 levels (DEFB136.9332.6.3)	DEFB136.9332.6.3	DEFB136	True
GCST90240434	Beta-endorphin levels (POMC.2558.51.3)	POMC.2558.51.3	POMC	True
GCST90240435	Beta-endorphin levels (POMC.4890.10.1)	POMC.4890.10.1	POMC	True
GCST90240436	Beta-galactoside alpha-2,6-sialyltransferase 1 levels (ST6GAL1.6035.2.3)	ST6GAL1.6035.2.3	ST6GAL1	True
GCST90240437	Beta-mannosidase levels (MANBA.6382.17.3)	MANBA.6382.17.3	MANBA	True
GCST90240438	Beta-microseminoprotein levels (MSMB.10620.21.3)	MSMB.10620.21.3	MSMB	True
GCST90240439	beta-nerve growth factor levels (NGF.5801.72.3)	NGF.5801.72.3	NGF	True
GCST90240440	Beta-sarcoglycan levels (SGCB.7034.4.3)	SGCB.7034.4.3	SGCB	True
GCST90240441	Beta-soluble NSF attachment protein levels (NAPB.12655.30.3)	NAPB.12655.30.3	NAPB	True
GCST90240442	BH3-interacting domain death agonist levels (BID.5798.3.3)	BID.5798.3.3	BID	True
GCST90240443	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 levels (PAPSS1.14007.22.3)	PAPSS1.14007.22.3	PAPSS1	True
GCST90240444	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 levels (NDST1.6927.7.3)	NDST1.6927.7.3	NDST1	True
GCST90240445	Bifunctional polynucleotide phosphatase/kinase levels (PNKP.13657.2.3)	PNKP.13657.2.3	PNKP	True
GCST90240446	Biglycan levels (BGN.13690.26.3)	BGN.13690.26.3	BGN	True
GCST90240447	Biglycan levels (BGN.3284.75.1)	BGN.3284.75.1	BGN	True
GCST90240448	Bile salt sulfotransferase levels (SULT2A1.9829.91.3)	SULT2A1.9829.91.3	SULT2A1	True
GCST90240449	Bile salt-activated lipase levels (CEL.9796.4.3)	CEL.9796.4.3	CEL	True
GCST90240450	Biliverdin reductase A levels (BLVRA.11382.5.3)	BLVRA.11382.5.3	BLVRA	True
GCST90240451	Bis(5'-adenosyl)-triphosphatase levels (FHIT.9826.135.3)	5'-adenosyl	5'-adenosyl	True
GCST90240452	Bisphosphoglycerate mutase levels (BPGM.12020.39.3)	BPGM.12020.39.3	BPGM	True
GCST90240453	BMP-binding endothelial regulator protein levels (BMPER.3654.27.5)	BMPER.3654.27.5	BMPER	True
GCST90240454	BolA-like protein 2 levels (BOLA2.8404.102.3)	BOLA2.8404.102.3	BOLA2	True
