gene_symbol	disease	disease_category	immune_class	OR	FDR	PP_H4	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	p_known	p_mhc
ACE	Hypertension	Cardiovascular	Immune-cell-enriched	1.6114209191709736	7.261655342004011e-09	0.7351814866098264	2	3	1	novel nomination	4.862974360157077	1.6277928735472507	0.7351814866098264	0.5	1.5	0.5	0.0	0.0
ACE	Dementia	Neuro/Aging	Immune-cell-enriched	0.4395453890280715	3.3625736169061e-06	0.9947524105634636	2	3	1	NOVEL colocalized	4.58941805033662	1.0946656397731567	0.9947524105634636	0.5	1.5	0.5	0.0	0.0
IFNGR2	Hypertension	Cardiovascular	Interferon axis	1.0664311640761612	3.70299009302803e-06	0.9849415186142572	2	3	1	NOVEL colocalized	4.571231008586168	1.0862894899719109	0.9849415186142572	0.5	1.5	0.5	0.0	0.0
ERBB3	Type 1 diabetes	Metabolic	Immune-cell-enriched	0.4243341111823029	5.021886163506477e-08	0.9011520913604174	2	2	0	NOVEL colocalized	4.360978718586722	1.4598266272263043	0.9011520913604174	0.5	1.0	0.5	0.0	0.0
IL2RA	Type 1 diabetes	Metabolic	Cytokine/Interleukin	0.3016186946935759	2.080910072955154e-07	0.9943770538611344	1	3	1	NOVEL colocalized	4.3307263913664515	1.336349337505317	0.9943770538611344	0.0	1.5	0.5	0.0	0.0
PLAUR	Coronary heart disease	Cardiovascular	Immune-cell-enriched	1.5867849949293351	8.119212459425118e-07	0.8990723791980968	1	3	1	NOVEL colocalized	4.11716959800782	1.2180972188097234	0.8990723791980968	0.0	1.5	0.5	0.0	0.0
IFNGR2	Psoriasis	Autoimmune	Interferon axis	0.8757486654865103	0.0011422823584206	0.9737888978727246	2	3	1	NOVEL colocalized	4.062234203965222	0.5884453060924973	0.9737888978727246	0.5	1.5	0.5	0.0	0.0
PROCR	Venous thromboembolism	Cardiovascular	Immune-cell-enriched	0.5472792876050901	6.2893731265111856e-18	5.481312039401948e-06	1	3	1	novel nomination	4.000005481312039	2.0	5.481312039401948e-06	0.0	1.5	0.5	0.0	0.0
CTLA4	Rheumatoid arthritis	Autoimmune	Immune checkpoint	0.5105947113703064	2.3234833167925524e-12	0.9848967890091272	2	3	1	recovered known axis	3.9848967890091274	2.0	0.9848967890091272	0.5	1.5	0.5	1.5	0.0
ACE	Atrial fibrillation	Cardiovascular	Immune-cell-enriched	1.7242700415098282	0.0012627610870002	0.8780526437434321	2	3	1	NOVEL colocalized	3.9577884056849952	0.5797357619415633	0.8780526437434321	0.5	1.5	0.5	0.0	0.0
