gene_symbol	disease	phenocode	category	disease_system	immune_class	OR	FDR	PP_H4	pqtl_OR	pqtl_p	pqtl_PPH4	pqtl_concordant	two_population_validated	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	s_protein	s_repl	p_known	p_mhc
IL2RA	Type 1 diabetes, definitions combined	T1D	Diabetes endpoints	Metabolic/Endocrine	Cytokine/Interleukin	0.3016186946935759	1.58335517475345e-06	0.9943770538611344	0.5538582387967425	0.0415027028701686	0.0236855616761935	True	False	4	3	1	NOVEL protein-confirmed	6.654461384706265	1.1600843308451307	0.9943770538611344	1.5	1.5	0.5	1.0	0.0	0.0	0.0
IL2RA	Dermatitis	L12_DERMATITISNAS	XII Diseases of the skin and subcutaneous tissue (L12_)	Dermatological	Cytokine/Interleukin	1.647436155246594	6.002452347052332e-11	0.9999986139845248	1.0162551185844355	0.8857761030893532	0.021398185762455	False	False	4	3	1	NOVEL colocalized	6.499998613984525	2.0	0.9999986139845248	1.5	1.5	0.5	0.0	0.0	0.0	0.0
IL2RA	Dermatitis and eczema	L12_DERMATITISECZEMA	XII Diseases of the skin and subcutaneous tissue (L12_)	Dermatological	Cytokine/Interleukin	1.4871981646028725	4.431299696339896e-14	0.999997041655745	1.0010578288741472	0.9893767616473684	0.021393905279053	False	False	4	3	1	NOVEL colocalized	6.499997041655745	2.0	0.999997041655745	1.5	1.5	0.5	0.0	0.0	0.0	0.0
ACE	Antihypertensive medication - note that there are other indications	RX_ANTIHYP	Drug purchase endpoints	Medication/Other	Immune-cell-enriched	2.1206455353537303	1.2459922237758385e-25	0.9977676538200024				False	False	6	3	1	NOVEL colocalized	6.497767653820002	2.0	0.9977676538200024	1.5	1.5	0.5	0.0	0.0	0.0	0.0
SLC12A2	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I9_DISVEINLYMPH	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	0.6028265127492374	2.765185456140853e-35	0.9970722677192756				False	True	3	3	1	NOVEL colocalized	6.497072267719275	2.0	0.9970722677192756	1.0	1.5	0.5	0.0	0.5	0.0	0.0
SLC12A2	Varicose veins	I9_VARICVE	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	0.52991068060098	2.4572514977852883e-32	0.9966557463629846				False	True	3	3	1	NOVEL colocalized	6.496655746362984	2.0	0.9966557463629846	1.0	1.5	0.5	0.0	0.5	0.0	0.0
CFH	Other retinal disorders	H7_RETINALDISOTH	VII Diseases of the eye and adnexa (H7_)	Ophthalmological	Complement/Coagulation	0.1595713697742229	6.6595348429256966e-105	0.9783864357143202	0.598527742849259	0.0	0.0009575367802801	True	True	3	1	0	NOVEL protein-confirmed	6.47838643571432	2.0	0.9783864357143202	1.0	0.5	0.5	1.0	0.5	0.0	0.0
PPP3R1	Varicose veins	I9_VARICVE	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	1.4154265581168566	3.2652031223639374e-36	0.9290921059074	1.2668237968467522	0.0492046593819841	0.0409053685794009	True	True	2	2	1	NOVEL protein-confirmed	6.4290921059074	2.0	0.9290921059074	0.5	1.0	0.5	1.0	0.5	0.0	0.0
CFH	Degeneration of macula and posterior pole	H7_MACULADEGEN	VII Diseases of the eye and adnexa (H7_)	Ophthalmological	Complement/Coagulation	0.0414843392154316	4.814779302667164e-211	0.9071759992425696	0.4078518447879851	0.0	3.288355914117447e-10	True	True	3	1	0	NOVEL protein-confirmed	6.40717599924257	2.0	0.9071759992425696	1.0	0.5	0.5	1.0	0.5	0.0	0.0
PPP3R1	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I9_DISVEINLYMPH	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	1.2457151905101065	1.6762462806632653e-24	0.8960718397467277	1.2666230108530891	0.0096352024470114	0.0397430085827827	True	True	2	2	1	NOVEL protein-confirmed	6.396071839746728	2.0	0.8960718397467277	0.5	1.0	0.5	1.0	0.5	0.0	0.0
ERBB2	Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	X Diseases of the respiratory system (J10_)	Respiratory	Immune-cell-enriched	2.5346098441420937	1.1136470484904822e-17	0.867998558891906				False	False	5	3	1	NOVEL colocalized	6.367998558891906	2.0	0.867998558891906	1.5	1.5	0.5	0.0	0.0	0.0	0.0
ERBB2	Asthma (only as main-diagnosis) (more control exclusions)	J10_ASTHMA_MAIN_EXMORE	X Diseases of the respiratory system (J10_)	Respiratory	Immune-cell-enriched	2.5117281702729644	6.407249370969635e-13	0.3546628412995258				False	True	5	3	1	novel nomination	6.354662841299525	2.0	0.3546628412995258	1.5	1.5	0.5	0.0	0.5	0.0	0.0
