gene_symbol	disease	OR	final_tier	rep_status	direction
C2	Ankylosing spondylitis	3.3482720524801994	2	not covered	risk (block)
C2	Coeliac disease	3.676316273878641	2	not covered	risk (block)
C2	Psoriasis	1.6201595163871174	2	replicated	risk (block)
C2	Rheumatoid arthritis	4.411784661989173	2	replicated	risk (block)
C2	Sjogren syndrome	2.6145118762831148	2	not covered	risk (block)
CTLA4	Autoimmune hyperthyroidism	0.1541189153607358	4	replicated	protective (agonise)
CTLA4	Rheumatoid arthritis	0.5105947113703064	4	replicated	protective (agonise)
ERBB3	Psoriasis	0.7391027180989734	3	replicated	protective (agonise)
ERBB3	Rheumatoid arthritis	1.3135853777167552	3	replicated	risk (block)
NUMB	Coeliac disease	0.5647687861390079	4	not covered	protective (agonise)
NUMB	Rheumatoid arthritis	0.7193194403952133	4	concordant (ns)	protective (agonise)
TNFRSF14	Multiple sclerosis	0.7302166192022661	3	replicated	protective (agonise)
TNFRSF14	Rheumatoid arthritis	0.8739742552963211	3	replicated	protective (agonise)
