gene_symbol	n_categories	categories	disease	disease_category	OR	direction	FDR
PM20D1	3	Cardiovascular;Metabolic;Neuro/Aging	Type 1 diabetes	Metabolic	0.758	protective (agonise)	0.0029875916748453
PM20D1	3	Cardiovascular;Metabolic;Neuro/Aging	Epilepsy	Neuro/Aging	0.869	protective (agonise)	0.0071016825880177
PM20D1	3	Cardiovascular;Metabolic;Neuro/Aging	Obesity	Metabolic	1.097	risk (block)	0.023121290091953
PM20D1	3	Cardiovascular;Metabolic;Neuro/Aging	Atrial fibrillation	Cardiovascular	1.098	risk (block)	0.0305225001002795
PM20D1	3	Cardiovascular;Metabolic;Neuro/Aging	Type 2 diabetes	Metabolic	1.064	risk (block)	0.0402253282954766
PM20D1	3	Cardiovascular;Metabolic;Neuro/Aging	Dementia	Neuro/Aging	0.898	protective (agonise)	0.0409863144737823
AAMDC	2	Cardiovascular;Renal	Hypertension	Cardiovascular	0.947	protective (agonise)	0.0079503976381341
AAMDC	2	Cardiovascular;Renal	Venous thromboembolism	Cardiovascular	0.909	protective (agonise)	0.0115798177497776
AAMDC	2	Cardiovascular;Renal	Chronic kidney disease	Renal	0.885	protective (agonise)	0.0408992724181256
ACE	2	Cardiovascular;Neuro/Aging	Hypertension	Cardiovascular	1.611	risk (block)	7.261655342004011e-09
ACE	2	Cardiovascular;Neuro/Aging	Dementia	Neuro/Aging	0.44	protective (agonise)	3.3625736169060997e-06
ACE	2	Cardiovascular;Neuro/Aging	Atrial fibrillation	Cardiovascular	1.724	risk (block)	0.0012627610870002
ACE	2	Cardiovascular;Neuro/Aging	Alzheimer's disease	Neuro/Aging	0.43	protective (agonise)	0.0060501015014594
ANPEP	2	Cardiovascular;Metabolic	Type 2 diabetes	Metabolic	1.048	risk (block)	2.3806320706054373e-06
ANPEP	2	Cardiovascular;Metabolic	Coronary heart disease	Cardiovascular	1.041	risk (block)	0.0065151867679505
ANXA11	2	Autoimmune;Neuro/Aging	Glaucoma	Neuro/Aging	1.192	risk (block)	6.545828178554407e-05
ANXA11	2	Autoimmune;Neuro/Aging	Sarcoidosis	Autoimmune	0.725	protective (agonise)	0.0009651095797988
C2	2	Autoimmune;Metabolic	Type 1 diabetes	Metabolic	25.667	risk (block)	1.3235340248547082e-37
C2	2	Autoimmune;Metabolic	Rheumatoid arthritis	Autoimmune	4.412	risk (block)	1.042320866837852e-34
C2	2	Autoimmune;Metabolic	Coeliac disease	Autoimmune	3.676	risk (block)	1.7169434259454512e-08
C2	2	Autoimmune;Metabolic	Ankylosing spondylitis	Autoimmune	3.348	risk (block)	2.6988395901181023e-05
C2	2	Autoimmune;Metabolic	Psoriasis	Autoimmune	1.62	risk (block)	0.0059591516846031
C2	2	Autoimmune;Metabolic	Sjogren syndrome	Autoimmune	2.615	risk (block)	0.0066215761611703
C2	2	Autoimmune;Metabolic	Systemic lupus erythematosus	Autoimmune	4.064	risk (block)	0.0275275844220724
CD226	2	Autoimmune;Metabolic	Sarcoidosis	Autoimmune	0.806	protective (agonise)	0.0154414805075911
CD226	2	Autoimmune;Metabolic	Type 1 diabetes	Metabolic	0.802	protective (agonise)	0.0409863144737823
CRIM1	2	Cardiovascular;Neuro/Aging	Venous thromboembolism	Cardiovascular	0.795	protective (agonise)	0.0154414805075911
