gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
LILRB2	GCST90241794	Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	1878	2.9442426058990927e-134	0.00040424683519608415	1.4402351672517911e-133	0.0009788373440053053	0.998616915820796
CTSH	GCST90240624	Type1 diabetes, definitions combined, early onset	T1D_EARLY	2330	4.019850231097207e-228	3.408789500633099e-06	3.0625574105613105e-225	0.0015986175732225342	0.9983979736372746
TNFSF14	GCST90243143	MS-disease / Multiple Sclerosis	G6_MS	3960	2.622961064227715e-07	2.2775556398579683e-06	0.0002735282981546965	0.0013767392187500713	0.9983471926313492
CTSH	GCST90240624	Type 1 diabetes, definitions combined	T1D	2330	3.8632384253672245e-226	0.0003275984383935545	5.3104940401712435e-225	0.003507076160381534	0.9961653254012147
SWAP70	GCST90242931	Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	3220	2.8331138360970813e-21	0.0007399191618356034	2.6648339408160105e-20	0.0059664044154688805	0.9932936764226964
SWAP70	GCST90242931	Autoimmune diseases	AUTOIMMUNE	3220	2.259099958082504e-22	5.900050065725544e-05	3.5414779103033124e-20	0.008257529652704147	0.9916834698466381
LILRB2	GCST90241794	Chronic lower respiratory diseases	J10_LOWCHRON	1878	7.079351344603665e-133	0.009720005309899577	1.6599059506714404e-133	0.001290074059823169	0.9889899206302909
TNFSF14	GCST90243143	Disorders of the thyroid gland	E4_THYROID	3960	2.776267340369337e-05	0.00024106737324647987	0.001366886766430187	0.010881395787118019	0.987482887399802
CFH	GCST90240779	Dry age-related macular degeneration (includes geographic atrophy)	DRY_AMD	2036	0.0	1.087539466920486e-285	1.2363181618302559e-46	0.015489169047314148	0.9845108309526494
GZMB	GCST90241324	Asthma-related infections	ASTHMA_INFECTIONS	1667	1.6526615415647296e-115	0.007711107461250055	2.1776262292168236e-115	0.009177414099005273	0.9831114784397639
GZMB	GCST90241325	Asthma-related infections	ASTHMA_INFECTIONS	1667	0.0	0.00798460816126386	0.0	0.009538426271233311	0.982476965567547
SERPING1	GCST90242274	Asthma, unspecified (mode)	ASTHMA_NAS	1617	6.340008862518325e-116	4.5168524036881695e-06	3.273104128267825e-112	0.022341127320790573	0.9776543558268225
SWAP70	GCST90242931	Rheumatoid arthritis	M13_RHEUMA	3220	4.0907704039636034e-20	0.010683790287553141	5.056797675538636e-20	0.012229659504201185	0.9770865502082442
SERPING1	GCST90242274	Asthma-related pneumonia	ASTHMA_PNEUMONIA	1617	2.695530563378744e-115	1.9203937988780715e-05	3.425186996718085e-112	0.023425720149080956	0.9765550759129069
SERPING1	GCST90242274	Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	1617	1.1831945471618137e-116	8.429507356012985e-07	3.4947284458268057e-112	0.023921636225430365	0.9760775208238515
SERPING1	GCST90242274	Chronic lower respiratory diseases	J10_LOWCHRON	1617	1.7363650737052147e-117	1.23704949423845e-07	3.6358474691382156e-112	0.024928025031627575	0.9750718512634338
TNFRSF1B	GCST90243171	Allergic rhinitis	ALLERG_RHINITIS	2808	3.153522111398793e-12	0.001149105091015933	6.963069422577751e-11	0.02439812506521463	0.9744527697709858
SERPING1	GCST90242274	Asthma (only as main-diagnosis) (more control exclusions)	J10_ASTHMA_MAIN_EXMORE	1617	2.0782983579034507e-115	1.480655175259267e-05	3.7601842331071253e-112	0.025814746666615804	0.9741704467816465
SERPING1	GCST90242274	Obesity related asthma	ASTHMA_OBESITY	1617	4.338518808756237e-114	0.00030909182518071445	3.82807974413593e-112	0.026299237703964702	0.9733916704708797
SERPING1	GCST90242274	Asthma (more control exclusions)	J10_ASTHMA_EXMORE	1617	2.8922254959913857e-117	2.060526407275056e-07	3.908388412451701e-112	0.026871649328320982	0.9731281446190128
CFH	GCST90240779	Senile cataract	H7_CATARACTSENILE	2036	5.1410520029933153e-48	0.0006850343831353108	2.075282469009999e-46	0.026680068190620253	0.9726348974262398
SERPING1	GCST90242274	Asthma-related infections	ASTHMA_INFECTIONS	1617	1.1246316164647307e-116	8.01228378421332e-07	4.744028321911441e-112	0.03283101126879319	0.9671681875028296
TNFRSF1B	GCST90243171	Pollen allergy	POLLENALLERG	2808	4.765120354412345e-12	0.0017363518837450217	8.822060836005668e-11	0.031179432161058868	0.9670842158622105
IL18R1	GCST90241607	Dermatitis and eczema	L12_DERMATITISECZEMA	1191	3.1324014246867795e-270	2.0507445855445024e-22	5.623935838022849e-250	0.03585506948555187	0.9641449305144629
IL18R1	GCST90241607	Atopic dermatitis	L12_ATOPIC	1191	1.6194730448727288e-279	1.0602490319516152e-31	5.650749690485025e-250	0.03603079219378024	0.9639692078062448
TNFRSF1B	GCST90243171	Other diseases of upper respiratory tract	J10_UPPERDIS	2808	2.3786226740297043e-11	0.008667411636194533	8.248538981730418e-11	0.029094434361856977	0.9622381538956767
IL18R1	GCST90241607	Lichen ruber planus, wide definition including periferal and oral lichen planus	K11_LICHEN_PLANUS_WIDE	1191	4.371938553992023e-254	2.862254258752586e-06	6.92475793099098e-250	0.04437991902917892	0.9556172187166097
IL18R1	GCST90241608	Lichen ruber planus, wide definition including periferal and oral lichen planus	K11_LICHEN_PLANUS_WIDE	1191	6.850581052376529e-117	2.8708433441398216e-06	1.0850704987841594e-112	0.044516098614171974	0.9554810305425006
FCRL3	GCST90241152	Thyrotoxicosis	THYROTOXICOSIS	3290	1.9817420900460354e-107	0.0005182053881056599	1.7490960666171295e-105	0.0447823826527573	0.9546994119591308
IL18R1	GCST90241608	Atopic dermatitis	L12_ATOPIC	1191	3.171321241669529e-142	1.3289918634883993e-31	1.1065539239154794e-112	0.045417293534635965	0.9545827064653827
IL18R1	GCST90241608	Dermatitis and eczema	L12_DERMATITISECZEMA	1191	6.249395537804582e-133	2.6189071331955815e-22	1.122020927906827e-112	0.046066111392801805	0.9539338886071967
DAPK2	GCST90240877	Primary angle-closure glaucoma	H7_GLAUCCLOSEPRIM	2077	0.0006963730634857633	0.006287092464057952	0.004068724950047752	0.0357806631999065	0.9531671463225023
IL1RL1	GCST90241581	Papulosquamous disorders	L12_PAPULOSQUAMOUS	1140	8.938650180017342e-198	0.0074634086294837094	5.0714820631826745e-197	0.04139366555460604	0.9511429258159299
TNFSF12	GCST90243141	Other disorders of eyelid	H7_EYELIDDIS	2413	3.4905101240814825e-45	0.00014058410489376465	1.3051517485282757e-42	0.05161816990735683	0.9482412459877463
SERPING1	GCST90242274	Asthma-related acute respiratory infections	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	1617	7.125281915356828e-113	0.005076309425465303	6.9328891646578925e-112	0.04844594072612509	0.9464777498483877
FCRL3	GCST90241152	Thyrotoxicosis with diffuse goitre	E4_THYTOXGOITDIF	3290	7.065032521105936e-107	0.0018474341025343833	2.2692869073334143e-105	0.05839979036908136	0.939752775528384
SERPING1	GCST90242274	Nontoxic goitre/thyroid nodule	E4_NONTOXIC_THYROID	1617	1.9278133533550537e-112	0.013734441966545054	9.789428077020942e-112	0.06882599881645278	0.9174395592170052
SERPING1	GCST90242274	Thyrotoxicosis	THYROTOXICOSIS	1617	5.04813832356597e-112	0.03596476947493133	7.334118741741732e-112	0.051338226592427844	0.9126970039326633
HGF	GCST90241397	Other obstructive and reflux uropathy	N14_OBSTRUREFLUROPATH	1855	7.656144647896675e-09	0.010335459092906944	6.352904642350102e-08	0.08485661525316138	0.9048078544687408
IL2RB	GCST90241613	Nasal polyp	J10_NASALPOLYP	2052	5.410363549386969e-06	5.194139885410267e-06	0.05211515817548278	0.049133649887400724	0.8987405874336811
CFH	GCST90240779	Macular pucker	MACULAR_PUCKER	2036	3.227330050314828e-47	0.004300349517772315	9.222238568436628e-46	0.12201070329738706	0.8736889471848477
ANXA2	GCST90240299	Hypertension	I9_HYPTENS	2143	0.015778561795191312	0.03256482915537666	0.027384512629915845	0.05564932778172494	0.8686227686377915
CFH	GCST90240779	Visual impairment including blindness (binocular or monocular)	H7_BLINDANDVISIMPAIRMENT	2036	2.7716062922385263e-53	3.6931071803827337e-09	1.060893425545023e-45	0.1405023233935532	0.8594976729133347
CFH	GCST90240779	Gonarthrosis, primary, with knee surgery	M13_ARTHROSIS_KNEE_PRIM_KNEESURG	2036	2.0754307570521936e-46	0.027654678995067718	9.691132373505189e-46	0.12828824665456523	0.844057074350366
TGFB2	GCST90243060	Other hammer toe(s) (acquired)	M13_HAMMERTOE	3031	0.0038598379315066384	0.013816824029702489	0.03412399862356668	0.12132470077416214	0.8268746386410618
ASGR1	GCST90240343	Statin medication	RX_STATIN	2586	1.7878956170819004e-08	3.7233894456076913e-09	0.1526279629895281	0.030969197027058838	0.8164028183810665
MXRA8	GCST90241896	Hernia of abdominal wall	ABDOM_HERNIA	2795	2.7281097285415156e-08	2.8238436298022526e-06	0.002057562029347917	0.2121907810129784	0.7857488058329475
ASGR1	GCST90240343	Disorders of lipoprotein metabolism and other lipidaemias	E4_LIPOPROT	2586	1.0684540399145683e-05	2.2251133999801985e-06	0.19012706177557942	0.0388239541686534	0.7710360744019679
MXRA8	GCST90241896	Hernia	K11_HERNIA	2795	1.1061182060333267e-08	1.1449337309410108e-06	0.002585802679854601	0.2669237897915862	0.7304892515336455
SERPING1	GCST90242274	Obesity due to excess calories	E4_OBESITYCAL	1617	1.4072090493215402e-112	0.010025467968186725	3.8848448674811635e-111	0.27605652913917095	0.7139180028926638
ANXA2	GCST90240298	Hypertension	I9_HYPTENS	2143	0.03907493289729236	0.06685818758491514	0.06781657335620572	0.11532492795859298	0.710925378202994
ASGR1	GCST90240343	Metabolic disorders	E4_METABOLIA	2586	0.0010476497614192656	0.00021817873633632926	0.2628264474773672	0.054053176469580695	0.6818545475552963
CFH	GCST90240779	Moderate visual impairment, binocular	H7_MODVISIMPBINOC	2036	2.713423262803604e-62	3.615579515510468e-18	2.55207432857988e-45	0.33939794284305	0.6606020571569452
IL6ST	GCST90241649	Other (seronegative) rheumatoid arthritis, wide	RHEUMA_OTHER_WIDE	1328	0.04934440842188851	0.3594445525913097	0.003254268823720771	0.023140589127568483	0.5648161810355126
SERPING1	GCST90242274	Obesity	E4_OBESITY	1617	3.6103304753344e-113	0.0025721304558469302	6.201813822306236e-111	0.4412835798804444	0.5561442896637342
SWAP70	GCST90242931	Diseases of arteries, arterioles and capillaries (FINNGEN)	FG_DOAAC	3220	8.151449834497331e-22	0.0002128899252984184	1.726744223130079e-18	0.45042126654128406	0.5493658435334144
