gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
TNFSF14	GCST90243143	Multiple sclerosis	G6_MS	3886	2.6229648185716897e-07	2.276207378823714e-06	0.0002735265725222373	0.0013753134202868825	0.9983486215033294
SWAP70	GCST90242931	Rheumatoid arthritis	M13_RHEUMA	3179	1.31424619165583e-19	0.014100530033156537	1.315751682297161e-19	0.013143926879276955	0.9727555430875652
TNFRSF1A	GCST90243170	Rheumatoid arthritis	M13_RHEUMA	2681	0.026547892306837285	0.6303284966081715	0.0025024025809540673	0.05913323461615932	0.2814879738878777
SIGLEC9	GCST90242813	Systemic lupus erythematosus	SLE_FG	3698	0.0	0.6046929627487622	0.0	0.14122536790337056	0.25408166934786897
IFNGR2	GCST90241556	Coeliac disease	K11_COELIAC	2801	0.32495635509339643	0.07472357560599287	0.2838042079497335	0.06500915016667794	0.2515067111841993
TNFRSF14	GCST90243162	Rheumatoid arthritis	M13_RHEUMA	2840	0.0011737264740559377	0.0003331950147368132	0.6040351756343513	0.17124903248713938	0.22320887038971654
TNFRSF14	GCST90243162	Multiple sclerosis	G6_MS	2840	0.00011770669139407149	3.341432918194541e-05	0.6297569589027963	0.17858257801163635	0.1915093420649921
HAVCR1	GCST90241394	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	3015	6.52112149480834e-50	0.6792441150194499	1.272319493139848e-50	0.132337179664199	0.1884187053163464
TNFRSF14	GCST90243162	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	2840	0.10633129059336009	0.030185104212406586	0.5317277680382331	0.1507647747728593	0.18099106238314092
HAVCR1	GCST90241394	Multiple sclerosis	G6_MS	3015	6.535463228676301e-50	0.6807379590364251	1.4471437020399464e-50	0.1505667025499181	0.16869533841366344
SWAP70	GCST90242931	Coeliac disease	K11_COELIAC	3179	6.511177384689236e-18	0.6985833616785808	1.3277540727714468e-18	0.14229543791207958	0.15912120040933664
HAVCR1	GCST90241394	Vitiligo	L12_VITILIGO	3015	6.695611044479147e-50	0.697419056222531	1.5319356174067674e-50	0.15942422038200818	0.1431567233954579
IL6ST	GCST90241649	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	3155	0.07966840071456302	0.6077484818528281	0.021360668782904317	0.16282094739659847	0.12840150125310593
TNFSF14	GCST90243143	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	3886	0.07109682033248832	0.6169778027744853	0.020196724161805776	0.17515047931690744	0.11657817341431292
SWAP70	GCST90242931	Psoriasis	L12_PSORIASIS	3179	7.447088727290046e-18	0.7989971660213405	9.186619797804229e-19	0.09846058023011871	0.102542253748542
TNFRSF1A	GCST90243170	Coeliac disease	K11_COELIAC	2681	0.03133448387058953	0.7439768807957274	0.004988151790307834	0.11833267518451286	0.10136780835886261
TNFSF14	GCST90243143	Sarcoidosis	D3_SARCOIDOSIS	3886	0.07613445526636495	0.6606943700998305	0.017628614138548833	0.15288835910267198	0.09265420139258349
IFNGR2	GCST90241558	Rheumatoid arthritis	M13_RHEUMA	2801	0.031969092335125016	0.005790637389251253	0.7365633232299812	0.13332310488703603	0.09235384215860626
TNFRSF1A	GCST90243170	Guillain-Barre	G6_GUILBAR	2681	0.030962180073714065	0.7351372452475005	0.006310408662782553	0.14975064250519193	0.0778395235108111
ERBB3	GCST90242599	Coeliac disease	K11_COELIAC	1793	0.0004992834242228639	0.8346091007916383	5.3323764565312283e-05	0.08906096752930033	0.07577732449027334
IL6ST	GCST90241649	Guillain-Barre	G6_GUILBAR	3155	0.07150617181844823	0.545483114710316	0.0358899976607157	0.27371257722530085	0.07340813858521916
ERBB3	GCST90242599	Vitiligo	L12_VITILIGO	1793	0.0004751594248306536	0.7942830886241615	7.895642129644026e-05	0.131911398168199	0.0732513973615127
ERBB3	GCST90242599	Systemic lupus erythematosus	SLE_FG	1793	0.0004952415680841248	0.8278526779788185	5.996577850510922e-05	0.10016820361978027	0.07142391105481173
TNFSF14	GCST90243143	Vitiligo	L12_VITILIGO	3886	0.07179735884359843	0.6230570719924663	0.024423014503528233	0.21187393243391303	0.06884862222649375
SIGLEC7	GCST90242811	Crohn's disease	CHRONNAS	3705	2.616455280777194e-11	0.7432819900806247	6.628452834792799e-12	0.18823244395490052	0.0684855659316819
SIGLEC7	GCST90242811	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	3705	2.5388750319948383e-11	0.7212430115704432	7.421179867218709e-12	0.21075269579649444	0.06800429260025409
HAVCR1	GCST90241394	Guillain-Barre	G6_GUILBAR	3015	7.005827154818432e-50	0.7297313613221889	1.9464969058834648e-50	0.20268075368132846	0.06758788499647837
ERBB3	GCST90242599	Crohn's disease	CHRONNAS	1793	0.0004814363844055776	0.8047757413588023	7.6395171099931e-05	0.1276361979639219	0.06703022912177044
