gene_symbol	phenocode	disease	uk_id	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
CFH	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	0.0414843392154316	4.814779302667164e-211	0.9956200060084975	0.0003950213757773793	-	-	True	True	True
C2	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	2.1775279578553453	4.908593489010671e-12	0.9993882827597403	0.45246648194230943	+	-	False	False	False
NUMB	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	0.7070969341949453	0.0032336142225582	1.0001616184601638	0.8615872633445298	-	+	False	False	False
PDGFB	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	1.155003585896671	0.0073361000141657	1.0000431220810269	0.9063212206859768	+	+	True	False	False
CFH	H7_RETINALDISOTH	Other retinal disorders	ukb-d-H7_RETINALDISOTH	0.1595713697742229	6.6595348429256966e-105	0.9952690482857409	0.0030263135632166973	-	-	True	True	True
C2	H7_RETINALDISOTH	Other retinal disorders	ukb-d-H7_RETINALDISOTH	2.142297210828134	9.157826349071448e-19	1.0001836640238762	0.8613496810330195	+	+	True	False	False
ERBB3	H7_RETINALDISOTH	Other retinal disorders	ukb-d-H7_RETINALDISOTH	0.8088099781633672	0.0495763497723922	1.0007475890006023	0.44314807630895797	-	+	False	False	False
SLC12A2	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	0.6028265127492374	2.765185456140853e-35	0.9809891561304507	1.7063155242273993e-17	-	-	True	True	True
PPP3R1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	1.2457151905101065	1.6762462806632653e-24	1.010641164708496	3.816366831650285e-16	+	+	True	True	True
CRIM1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	0.7797368781331545	2.2768791040641663e-06	0.9948083735826073	0.06364537477757816	-	-	True	False	False
EFNA1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	0.5894835327425846	0.0002993819271604	0.9880552686083326	0.045467288140369454	-	-	True	True	True
ADM	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	1.0893533173751386	0.0061204152343437	1.0028923379812429	0.02081874554627133	+	+	True	True	True
PDLIM7	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	0.7836556111360843	0.0077026311849418	0.9934209365781766	0.06728871641853314	-	-	True	False	False
SLC16A1	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	0.7977315639320371	0.0103403455498788	0.998672168043153	0.693521839846843	-	-	True	False	False
THBD	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	0.929126100039842	0.0334143970374397	0.9965391701425458	0.019447204125808033	-	-	True	True	True
MYL4	I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	ukb-d-I9_DISVEINLYMPH	0.574624202815094	0.034868725509922	0.991210549927408	0.38216392276657235	-	-	True	False	False
C2	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	4.411784661989173	7.6372331567933465e-34	1.0042662384252055	3.2964879930614766e-05	+	+	True	True	True
IL6ST	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	2.632384596643061	1.589691802796057e-13	1.0061881089410636	7.827595570030506e-06	+	+	True	True	True
CTLA4	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	0.5105947113703064	2.080771310971751e-11	0.996881821943308	0.00299986941999461	-	-	True	True	True
CA8	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	0.746217049064143	0.0100959718337687	0.9982460675962678	0.04320354429697544	-	-	True	True	True
SWAP70	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	0.8293131115972837	0.0329775060837499	0.998831766957539	0.028108091139834285	-	-	True	True	True
TNFRSF14	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	0.8739742552963211	0.0367247809834666	0.999324246068793	0.11085091031509758	-	-	True	False	False
MYL6B	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	1.396184655655942	0.0426853316634806	1.0002888269342893	0.7891337475363416	+	+	True	False	False
FES	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.8468839990603911	1.3034218837950704e-28	0.9993733772735486	0.0804076506989277	-	-	True	False	False
ACE	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.6114209191709736	5.32071809321131e-08	1.0016053710931645	0.3963382401148279	+	+	True	False	False
SPINK8	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.8476635987428299	1.39069754708218e-05	1.0003740817014604	0.5732070281641222	-	+	False	False	False
IFNGR2	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.0664311640761612	3.5370441860658856e-05	1.0000721302095699	0.8327056983508812	+	+	True	False	False
SWAP70	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.8981950163318115	4.819561437260463e-05	0.9992629577367401	0.1153945119598165	-	-	True	False	False
MERTK	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.062439129279221	4.899940150507781e-05	1.0000672605481122	0.8349835093287845	+	+	True	False	False
TNFSF12	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.059272096895342	9.38051580092912e-05	1.000632738260792	0.01814065030972988	+	+	True	True	True
NGFR	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.6333947538585684	0.0001016088028641	1.002420876607875	0.2745366007214469	-	+	False	False	False
JMJD1C	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.6671465461882875	0.000502065711949	0.9979266720120142	0.43138710243827916	+	-	False	False	False
MAPRE3	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.8382669413697186	0.0005451156335936	0.9986302167984479	0.12489998694078336	-	-	True	False	False
