gene_symbol	phenocode	disease	uk_id	uk_trait	match_method	uk_ncase	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
CFH	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	Degeneration of macula and posterior pole	exact-code	1013	0.0414843392154316	4.814779302667164e-211	0.9956200060084975	0.0003950213757773793	-	-	True	True	True
C2	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	Degeneration of macula and posterior pole	exact-code	1013	2.1775279578553453	4.908593489010671e-12	0.9993882827597403	0.45246648194230943	+	-	False	False	False
NUMB	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	Degeneration of macula and posterior pole	exact-code	1013	0.7070969341949453	0.0032336142225582	1.0001616184601638	0.8615872633445298	-	+	False	False	False
PDGFB	H7_MACULADEGEN	Degeneration of macula and posterior pole	ukb-d-H7_MACULADEGEN	Degeneration of macula and posterior pole	exact-code	1013	1.155003585896671	0.0073361000141657	1.0000431220810269	0.9063212206859768	+	+	True	False	False
CFH	H7_RETINALDISOTH	Other retinal disorders	ukb-d-H7_RETINALDISOTH	Other retinal disorders	exact-code	1692	0.1595713697742229	6.6595348429256966e-105	0.9952690482857409	0.0030263135632166973	-	-	True	True	True
C2	H7_RETINALDISOTH	Other retinal disorders	ukb-d-H7_RETINALDISOTH	Other retinal disorders	exact-code	1692	2.142297210828134	9.157826349071448e-19	1.0001836640238762	0.8613496810330195	+	+	True	False	False
ERBB3	H7_RETINALDISOTH	Other retinal disorders	ukb-d-H7_RETINALDISOTH	Other retinal disorders	exact-code	1692	0.8088099781633672	0.0495763497723922	1.0007475890006023	0.44314807630895797	-	+	False	False	False
PPP3R1	I9_VARICVE	Varicose veins	ukb-b-13038	Non-cancer illness code, self-reported: varicose veins	name-match	1652	1.4154265581168566	3.2652031223639374e-36	1.0012230330768	0.0014881404124872629	+	+	True	True	True
SLC12A2	I9_VARICVE	Varicose veins	ukb-b-13038	Non-cancer illness code, self-reported: varicose veins	name-match	1652	0.52991068060098	2.4572514977852883e-32	0.9978893206379995	0.001545454284422221	-	-	True	True	True
ADM	I9_VARICVE	Varicose veins	ukb-b-13038	Non-cancer illness code, self-reported: varicose veins	name-match	1652	1.1704400457390047	2.884658654329078e-07	1.0003011331976803	0.41561239376688974	+	+	True	False	False
VAT1	I9_VARICVE	Varicose veins	ukb-b-13038	Non-cancer illness code, self-reported: varicose veins	name-match	1652	0.8659983467761071	0.0006365988371344	0.9988049830761052	0.0065057137645894575	-	-	True	True	True
CRIM1	I9_VARICVE	Varicose veins	ukb-b-13038	Non-cancer illness code, self-reported: varicose veins	name-match	1652	0.7787312213399475	0.004456980306756	0.999224335900019	0.3495252027997069	-	-	True	False	False
