olink_id	gene_symbol	protein_name	immune_class	immune_score	cytokine	chemokine	interferon_axis	TNF_axis	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	msigdb_c7_immune_gene	rna_blood_cell_specificity	hpa_disease	hpa_protein_class
1032	FGA	Fibrinogen alpha chain	Acute-phase	2	0	0	0	0	0	1	0	0	1	0	0	0	0		1	1	Not detected in immune cells	Amyloidosis, Cancer-related genes, Disease variant, FDA approved drug targets	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins
1288	HPGDS	Hematopoietic prostaglandin D synthase	Acute-phase	3	0	0	0	0	0	0	0	0	1	0	0	0	1	Granulocyte	0	1	Immune cell enriched		Enzymes, Metabolic proteins, Predicted intracellular proteins
1289	HPSE	Heparanase	Acute-phase	3	0	0	0	0	0	0	0	0	1	0	0	0	1	Myeloid/Monocyte;Granulocyte	1	1	Immune cell enhanced		Enzymes, Metabolic proteins, Predicted secreted proteins
1559	LBP	Lipopolysaccharide-binding protein	Acute-phase	2	0	0	0	0	0	0	0	0	1	0	0	0	0		1	1	Not detected in immune cells		Plasma proteins, Predicted secreted proteins, Transporters
1945	ORM1	Alpha-1-acid glycoprotein 1	Acute-phase	3	0	0	0	0	0	0	0	0	1	0	0	0	1	Granulocyte	1	1	Immune cell enriched	Cancer-related genes, FDA approved drug targets	Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins
421	CD2	T-cell surface antigen CD2	CD/Leukocyte surface	3	0	0	0	0	0	0	0	1	0	0	0	0	1	T-cell;NK-cell	0	1	Group enriched	FDA approved drug targets	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins
422	CD200	OX-2 membrane glycoprotein	CD/Leukocyte surface	3	0	0	0	0	0	0	0	1	0	0	0	0	1	B-cell	0	1	Group enriched		CD markers, Predicted intracellular proteins, Predicted membrane proteins
423	CD200R1	Cell surface glycoprotein CD200 receptor 1	CD/Leukocyte surface	3	0	0	0	0	0	0	0	1	0	0	0	1	1	Granulocyte	0	1	Immune cell enriched		Predicted intracellular proteins, Predicted membrane proteins
424	CD207	C-type lectin domain family 4 member K	CD/Leukocyte surface	3	0	0	0	0	0	0	0	1	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Immune cell enriched		CD markers, Disease related genes, Predicted membrane proteins
425	CD209	CD209 antigen	CD/Leukocyte surface	4	0	0	0	0	0	0	0	1	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Group enriched		CD markers, Predicted intracellular proteins, Predicted membrane proteins
