gene_symbol	protein_name	immune_class	immune_source_cells	hpa_disease
XCL1	Lymphotactin	Chemokine axis	NK-cell	
CCL14	C-C motif chemokine 14	Chemokine axis		Cancer-related genes
CCL16	C-C motif chemokine 16	Chemokine axis		Cancer-related genes
CCL17	C-C motif chemokine 17	Chemokine axis		
CCL18	C-C motif chemokine 18	Chemokine axis		Cancer-related genes
CCL19	C-C motif chemokine 19	Chemokine axis		Cancer-related genes
CCL2	C-C motif chemokine 2	Chemokine axis	Myeloid/Monocyte;Granulocyte	Cancer-related genes
CCL20	C-C motif chemokine 20	Chemokine axis	T-cell	
CCL21	C-C motif chemokine 21	Chemokine axis		Cancer-related genes
CCL22	C-C motif chemokine 22	Chemokine axis		
CCL13	C-C motif chemokine 13	Chemokine axis		Cancer-related genes
CCL23	C-C motif chemokine 23	Chemokine axis	Granulocyte	Cancer-related genes
CCL25	C-C motif chemokine 25	Chemokine axis	NK-cell	
CCL26	C-C motif chemokine 26	Chemokine axis		
CCL27	C-C motif chemokine 27	Chemokine axis		
CCL28	C-C motif chemokine 28	Chemokine axis		
CCL3	C-C motif chemokine 3	Chemokine axis	T-cell	Cancer-related genes
CCL4	C-C motif chemokine 4	Chemokine axis	T-cell	Cancer-related genes
CCL5	C-C motif chemokine 5	Chemokine axis	T-cell	Cancer-related genes
CCL7	C-C motif chemokine 7	Chemokine axis		Cancer-related genes
CCL8	C-C motif chemokine 8	Chemokine axis	Myeloid/Monocyte	Cancer-related genes
CCL24	C-C motif chemokine 24	Chemokine axis		
CCL11	Eotaxin	Chemokine axis		Cancer-related genes
CCL15	C-C motif chemokine 15	Chemokine axis		
CXCL14	C-X-C motif chemokine 14	Chemokine axis		
CXCL5	C-X-C motif chemokine 5	Chemokine axis		Cancer-related genes
CXCL3	C-X-C motif chemokine 3	Chemokine axis		
CXCL17	C-X-C motif chemokine 17	Chemokine axis		
CXCL16	C-X-C motif chemokine 16	Chemokine axis	Myeloid/Monocyte;Granulocyte;Dendritic	
CXCL9	C-X-C motif chemokine 9	Chemokine axis		Cancer-related genes
CXCL13	C-X-C motif chemokine 13	Chemokine axis		Cancer-related genes
CXCL12	Stromal cell-derived factor 1	Chemokine axis		
CXCL11	C-X-C motif chemokine 11	Chemokine axis		
CXCL6	C-X-C motif chemokine 6	Chemokine axis	Granulocyte	
CXCL10	C-X-C motif chemokine 10	Chemokine axis	Myeloid/Monocyte	Cancer-related genes
CX3CL1	Fractalkine	Chemokine axis		
PF4	Platelet factor 4	Chemokine axis	Granulocyte	Cancer-related genes
PPBP	Platelet basic protein	Chemokine axis	Granulocyte	
CXCL1	Growth-regulated alpha protein	Chemokine axis	Granulocyte	Cancer-related genes
CXCL8	Interleukin-8	Chemokine axis	Granulocyte	Cancer-related genes
CFHR5	Complement factor H-related protein 5	Complement/Coagulation		Disease variant, Hemolytic uremic syndrome
CFHR4	Complement factor H-related protein 4	Complement/Coagulation		
CFHR2	Complement factor H-related protein 2	Complement/Coagulation		
CFH	Complement factor H	Complement/Coagulation	T-cell	Age-related macular degeneration, Cancer-related genes, Disease variant, Hemolytic uremic syndrome
CFD	Complement factor D	Complement/Coagulation	Granulocyte	Disease variant
CFP	Properdin	Complement/Coagulation	Myeloid/Monocyte;Granulocyte;Dendritic	Disease variant
