gene_symbol	protein_name	immune_class	immune_source_cells	secreted_to_blood	hpa_disease
FGA	Fibrinogen alpha chain	Acute-phase		1	Amyloidosis, Cancer-related genes, Disease variant, FDA approved drug targets
ORM1	Alpha-1-acid glycoprotein 1	Acute-phase	Granulocyte	1	Cancer-related genes, FDA approved drug targets
CD2	T-cell surface antigen CD2	CD/Leukocyte surface	T-cell;NK-cell	0	FDA approved drug targets
CD22	B-cell receptor CD22	CD/Leukocyte surface	B-cell	0	FDA approved drug targets
CD2AP	CD2-associated protein	CD/Leukocyte surface	Myeloid/Monocyte;Dendritic	0	
CD33	Myeloid cell surface antigen CD33	CD/Leukocyte surface	Myeloid/Monocyte;Dendritic	0	FDA approved drug targets
CD36	Platelet glycoprotein 4	CD/Leukocyte surface	Myeloid/Monocyte;Dendritic	0	Cancer-related genes, Disease variant
CD3D	T-cell surface glycoprotein CD3 delta chain	CD/Leukocyte surface	T-cell	0	FDA approved drug targets, SCID
CD3E	T-cell surface glycoprotein CD3 epsilon chain	CD/Leukocyte surface	T-cell;NK-cell	0	FDA approved drug targets
CD3G	T-cell surface glycoprotein CD3 gamma chain	CD/Leukocyte surface	T-cell	0	FDA approved drug targets
CD4	T-cell surface glycoprotein CD4	CD/Leukocyte surface	Myeloid/Monocyte;T-cell;Dendritic	0	FDA approved drug targets
CD74	HLA class II histocompatibility antigen gamma chain	CD/Leukocyte surface	Myeloid/Monocyte;B-cell;Dendritic	1	Cancer-related genes
C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	Complement/Coagulation		1	Cancer-related genes, Disease variant, Primary mitochondrial disease
C1S	Complement C1s subcomponent	Complement/Coagulation		1	Disease variant, Ehlers-Danlos syndrome, FDA approved drug targets
C2	Complement C2	Complement/Coagulation	Myeloid/Monocyte	1	Age-related macular degeneration, Disease variant
C3	Complement C3	Complement/Coagulation	Myeloid/Monocyte	1	Age-related macular degeneration, Disease variant, FDA approved drug targets, Hemolytic uremic syndrome
C5	Complement C5	Complement/Coagulation		1	Disease variant, FDA approved drug targets
CFB	Complement factor B	Complement/Coagulation		1	Age-related macular degeneration, Disease variant, Hemolytic uremic syndrome
CFD	Complement factor D	Complement/Coagulation	Granulocyte	1	Disease variant
CFI	Complement factor I	Complement/Coagulation		1	Age-related macular degeneration, Disease variant, Hemolytic uremic syndrome
MASP1	Mannan-binding lectin serine protease 1	Complement/Coagulation		1	Disease variant
CSF1R	Macrophage colony-stimulating factor 1 receptor	Cytokine/Interleukin	Myeloid/Monocyte	0	Cancer-related genes, Disease variant, FDA approved drug targets, Neurodegeneration, Proto-oncogene
