gene_symbol	disease	disease_category	immune_class	OR	FDR	PP_H4	n_categories	druggability	category_label	novelty_priority
ACE	Hypertension	Cardiovascular	Immune-cell-enriched	1.6114209191709736	7.261655342004011e-09	0.7351814866098264	2	3	novel nomination	4.862974360157077
ACE	Dementia	Neuro/Aging	Immune-cell-enriched	0.4395453890280715	3.3625736169061e-06	0.9947524105634636	2	3	NOVEL colocalized	4.58941805033662
IFNGR2	Hypertension	Cardiovascular	Interferon axis	1.0664311640761612	3.70299009302803e-06	0.9849415186142572	2	3	NOVEL colocalized	4.571231008586168
ERBB3	Type 1 diabetes	Metabolic	Immune-cell-enriched	0.4243341111823029	5.021886163506477e-08	0.9011520913604174	2	2	NOVEL colocalized	4.360978718586722
IL2RA	Type 1 diabetes	Metabolic	Cytokine/Interleukin	0.3016186946935759	2.080910072955154e-07	0.9943770538611344	1	3	NOVEL colocalized	4.3307263913664515
PLAUR	Coronary heart disease	Cardiovascular	Immune-cell-enriched	1.5867849949293351	8.119212459425118e-07	0.8990723791980968	1	3	NOVEL colocalized	4.11716959800782
IFNGR2	Psoriasis	Autoimmune	Interferon axis	0.8757486654865103	0.0011422823584206	0.9737888978727246	2	3	NOVEL colocalized	4.062234203965222
PROCR	Venous thromboembolism	Cardiovascular	Immune-cell-enriched	0.5472792876050901	6.2893731265111856e-18	5.481312039401948e-06	1	3	novel nomination	4.000005481312039
ACE	Atrial fibrillation	Cardiovascular	Immune-cell-enriched	1.7242700415098282	0.0012627610870002	0.8780526437434321	2	3	NOVEL colocalized	3.9577884056849952
ACE	Alzheimer's disease	Neuro/Aging	Immune-cell-enriched	0.429980367299715	0.0060501015014594	0.9777564759228554	2	3	NOVEL colocalized	3.921403943764132
ANXA2	Hypertension	Cardiovascular	Immune-cell-enriched	1.1095830136652372	0.0002750662942252	0.9966716957964176	1	3	NOVEL colocalized	3.7087842204875314
CD2	Type 1 diabetes	Metabolic	CD/Leukocyte surface	4.075781345026908	0.002226241048356	0.9789146353913296	1	3	NOVEL colocalized	3.5094001981532097
SPINK8	Type 2 diabetes	Metabolic	Immune-cell-enriched	0.8340418525474392	8.440102664676625e-06	0.9744979213260146	2	1	NOVEL colocalized	3.4892283754503772
PSRC1	Coronary heart disease	Cardiovascular	Immune-cell-enriched	0.8503219654685883	2.2447716911302464e-16	0.9881190066630412	1	0	NOVEL colocalized	3.488119006663041
FES	Hypertension	Cardiovascular	Immune-cell-enriched	0.8468839990603911	1.4824127620138616e-29	0.9776632698994542	1	0	NOVEL colocalized	3.477663269899454
MERTK	Hypertension	Cardiovascular	Immune-cell-enriched	1.062439129279221	5.031927448444981e-06	0.8717894380259383	2	1	NOVEL colocalized	3.4314425638821824
PM20D1	Type 1 diabetes	Metabolic	Immune-cell-enriched	0.7583369269397326	0.0029875916748453	0.9176603999405608	3	1	NOVEL colocalized	3.4225961518259016
F12	Obesity	Metabolic	Immune-cell-enriched	1.4764441467768443	0.0068069385875538	0.946927534538036	1	3	NOVEL colocalized	3.380337168057687
PM20D1	Epilepsy	Neuro/Aging	Immune-cell-enriched	0.8688247894944074	0.0071016825880177	0.886886868037533	3	1	NOVEL colocalized	3.3166146165439065
SPINK8	Hypertension	Cardiovascular	Immune-cell-enriched	0.8476635987428299	1.6181736097945674e-06	0.6198862408478872	2	1	novel nomination	3.27808121801921
ERBB2	Atrial fibrillation	Cardiovascular	Immune-cell-enriched	1.6536516909796315	0.0187891603626897	0.9022210085466218	1	3	NOVEL colocalized	3.2474395339315
PM20D1	Obesity	Metabolic	Immune-cell-enriched	1.0965950066155064	0.023121290091953	0.6939971358444582	3	1	novel nomination	3.0211947233187635
LYPD3	Dementia	Neuro/Aging	Immune-cell-enriched	0.3549918138470115	6.2893731265111856e-18	3.630477406140191e-27	1	1	novel nomination	3.0
