gene_symbol	disease	disease_system	immune_class	OR	FDR	PP_H4	pqtl_p	pqtl_PPH4	n_categories	druggability	category_label	novelty_priority
IL2RA	Type 1 diabetes, definitions combined	Metabolic/Endocrine	Cytokine/Interleukin	0.3016186946935759	1.58335517475345e-06	0.9943770538611344	0.0415027028701686	0.0236855616761935	4	3	NOVEL protein-confirmed	6.654461384706265
IL2RA	Dermatitis	Dermatological	Cytokine/Interleukin	1.647436155246594	6.002452347052332e-11	0.9999986139845248	0.8857761030893532	0.021398185762455	4	3	NOVEL colocalized	6.499998613984525
IL2RA	Dermatitis and eczema	Dermatological	Cytokine/Interleukin	1.4871981646028725	4.431299696339896e-14	0.999997041655745	0.9893767616473684	0.021393905279053	4	3	NOVEL colocalized	6.499997041655745
ACE	Antihypertensive medication - note that there are other indications	Medication/Other	Immune-cell-enriched	2.1206455353537303	1.2459922237758385e-25	0.9977676538200024			6	3	NOVEL colocalized	6.497767653820002
SLC12A2	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Cardiovascular	Immune-cell-enriched	0.6028265127492374	2.765185456140853e-35	0.9970722677192756			3	3	NOVEL colocalized	6.497072267719275
SLC12A2	Varicose veins	Cardiovascular	Immune-cell-enriched	0.52991068060098	2.4572514977852883e-32	0.9966557463629846			3	3	NOVEL colocalized	6.496655746362984
CFH	Other retinal disorders	Ophthalmological	Complement/Coagulation	0.1595713697742229	6.6595348429256966e-105	0.9783864357143202	0.0	0.0009575367802801	3	1	NOVEL protein-confirmed	6.47838643571432
PPP3R1	Varicose veins	Cardiovascular	Immune-cell-enriched	1.4154265581168566	3.2652031223639374e-36	0.9290921059074	0.0492046593819841	0.0409053685794009	2	2	NOVEL protein-confirmed	6.4290921059074
CFH	Degeneration of macula and posterior pole	Ophthalmological	Complement/Coagulation	0.0414843392154316	4.814779302667164e-211	0.9071759992425696	0.0	3.288355914117447e-10	3	1	NOVEL protein-confirmed	6.40717599924257
PPP3R1	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Cardiovascular	Immune-cell-enriched	1.2457151905101065	1.6762462806632653e-24	0.8960718397467277	0.0096352024470114	0.0397430085827827	2	2	NOVEL protein-confirmed	6.396071839746728
ERBB2	Asthma/COPD (KELA code 203)	Respiratory	Immune-cell-enriched	2.5346098441420937	1.1136470484904822e-17	0.867998558891906			5	3	NOVEL colocalized	6.367998558891906
SLC12A2	Other disorders of veins	Cardiovascular	Immune-cell-enriched	0.5170189731301592	5.0856579266310096e-18	0.9967462690336822			3	3	NOVEL colocalized	5.996746269033682
CFH	Age-related macular degeneration (whether dry or wet)	Ophthalmological	Complement/Coagulation	0.0042570452399317	0.0	0.9812708896620403	0.0	0.0443715561292391	3	1	NOVEL protein-confirmed	5.98127088966204
CFH	Moderate visual impairment, binocular	Ophthalmological	Complement/Coagulation	0.0177508991397078	1.5012823920837778e-18	0.977066649309138	0.0	0.6606020571569452	3	1	NOVEL protein-confirmed	5.977066649309138
CFH	Disorders of choroid and retina	Ophthalmological	Complement/Coagulation	0.2667518090729608	8.841946500799477e-72	0.927315547134516	0.0	0.0209901984577576	3	1	NOVEL protein-confirmed	5.927315547134516
ACE	Cardiovascular diseases (excluding rheumatic etc)	Cardiovascular	Immune-cell-enriched	1.583523828123102	1.0965465023882905e-07	0.996736208753491			6	3	NOVEL colocalized	5.888730797957095
CFH	Diabetic retinopathy	Metabolic/Endocrine	Complement/Coagulation	0.3579069127583938	3.061075679280583e-11	0.8327701738634928	2.2934987242706484e-12	0.0039943348980591	3	1	NOVEL protein-confirmed	5.8327701738634925
IL2RA	Infective dermatitis	Dermatological	Cytokine/Interleukin	2.677952717841917	5.041702095777248e-07	0.999987959852455	0.3308803240262721	0.0214696488644315	4	3	NOVEL colocalized	5.759472523753443
CFH	Diabetic retinopathy (more control exclusions)	Metabolic/Endocrine	Complement/Coagulation	0.3677676682750168	1.2592596886691155e-09	0.9197413174787132	9.277023593767808e-12	0.0941501720614574	3	1	NOVEL protein-confirmed	5.6997182572830125
LTBP3	Otosclerosis	Other	Cytokine/Interleukin	0.3359486768560703	4.930571318593161e-27	0.9996089950080024			6	1	NOVEL colocalized	5.4996089950080025
CFH	Visual impairment including blindness (binocular or monocular)	Ophthalmological	Complement/Coagulation	0.143574053465516	1.7067827522296015e-08	0.9429725171898508	4.3223202794706594e-12	0.8594976729133347	3	1	NOVEL protein-confirmed	5.496536868094294
ERBB3	Disorders of the thyroid gland	Metabolic/Endocrine	Immune-cell-enriched	0.7796320736151209	2.177526284997434e-08	0.9166347956308312	0.2242200629793194	0.0035980969130455	7	2	NOVEL colocalized	5.449042114411728
LTBR	Peritonsillar abscess	Respiratory	Cytokine/Interleukin	1.5615384679040123	1.4388465962137062e-11	0.928305461394109	0.070236020115928	0.0223233446995396	4	1	NOVEL colocalized	5.428305461394109
SERPING1	Asthma (more control exclusions)	Respiratory	Complement/Coagulation	1.162979973113265	5.177339522747978e-06	0.8659124539412469	9.100498132852408e-11	0.9731281446190128	4	1	NOVEL colocalized	5.423091124672094
IL1RL1	Dermatitis and eczema	Dermatological	Cytokine/Interleukin	0.7427694875590338	2.78540023178354e-21	0.91718861568723	6.333467084118638e-11	3.0580211345969996e-14	3	2	NOVEL colocalized	5.41718861568723
ACE	Dementia	Neurological/Psychiatric	Immune-cell-enriched	0.4395453890280715	3.079756859936873e-05	0.9947524105634636			6	3	NOVEL colocalized	5.397049124312456
ACE	Any dementia (more control exclusions)	Other	Immune-cell-enriched	0.4135117739966673	3.94340701811956e-05	0.9941230114752204			6	3	NOVEL colocalized	5.374948690470892
ACE	Hypertension, essential	Cardiovascular	Immune-cell-enriched	1.5336163437590753	2.417873540704059e-05	0.9171193870621994			6	3	NOVEL colocalized	5.34043267052074
ERBB2	Acute sinusitis	Respiratory	Immune-cell-enriched	2.2394573930073407	8.53572430912028e-06	0.8125497104950861			5	3	NOVEL colocalized	5.326301634576408
ACE	Unspecific neurodegenerative disorder	Neurological/Psychiatric	Immune-cell-enriched	0.4268617803314671	0.0001300241435789	0.992105037291454			6	3	NOVEL colocalized	5.269300236907726
SERPING1	Asthma (only as main-diagnosis) (more control exclusions)	Respiratory	Complement/Coagulation	1.163457501518054	8.245577597483483e-05	0.9493846985506842	7.829300319173171e-09	0.9741704467816464	4	1	NOVEL colocalized	5.266140481930835
ACE	Dementia, including avohilmo	Neurological/Psychiatric	Immune-cell-enriched	0.4744912070409275	0.0002195655257414	0.993993523139756			6	3	NOVEL colocalized	5.22568069273788
ERBB3	Type 1 diabetes, definitions combined	Metabolic/Endocrine	Immune-cell-enriched	0.4243341111823029	3.580158529850194e-07	0.9011520913604174	0.5874392086865359	0.0053142737880016	7	2	NOVEL colocalized	5.190371639824111
LTBR	Acute appendicitis, no complications	Gastrointestinal	Cytokine/Interleukin	0.7741840410028175	1.0869089361560575e-09	0.8906235939777771	0.2230812535596678	0.0224932214003984	4	1	NOVEL colocalized	5.183384962102858
ERBB2	Alcohol use disorder, Swedish definition	Other	Immune-cell-enriched	2.020176586772839	0.0006813767532915	0.985269890337062			5	3	NOVEL colocalized	5.118592427827775
ACE	Other degenerative diseases of the nervous system	Gastrointestinal	Immune-cell-enriched	0.444236526193862	0.0008192677655943	0.987637595844271			6	3	NOVEL colocalized	5.104952422301886
ACE	Alzheimer disease	Neurological/Psychiatric	Immune-cell-enriched	0.3974958645435714	0.0012106211244538	0.9909208744708036			6	3	NOVEL colocalized	5.074319224918016
SLC12A2	Erysipelas	Infection	Immune-cell-enriched	0.7050466241437757	4.013796450740785e-06	0.9912106856984304			3	3	NOVEL colocalized	5.070499616779723
ERBB2	Acute bronchiolitis	Respiratory	Immune-cell-enriched	9.33832974261792	0.0003764931035747	0.8300613310215442			5	3	NOVEL colocalized	5.014909925940433
PSRC1	Coronary atherosclerosis	Cardiovascular	Immune-cell-enriched	0.8271831854130581	9.227066656692128e-23	0.9943703078212502			3	0	NOVEL colocalized	4.99437030782125
PSRC1	Ischaemic heart disease, wide definition	Cardiovascular	Immune-cell-enriched	0.8555309876379927	2.3322609932015485e-19	0.9907696290401288			3	0	NOVEL colocalized	4.990769629040129
PSRC1	Major coronary heart disease event	Cardiovascular	Immune-cell-enriched	0.8503219654685883	1.8926191055315358e-15	0.9881190066630412			3	0	NOVEL colocalized	4.988119006663041
FES	Hypertension	Cardiovascular	Immune-cell-enriched	0.8468839990603911	1.3034218837950704e-28	0.9776632698994542			5	0	NOVEL colocalized	4.977663269899454
FES	Hypertension, essential	Cardiovascular	Immune-cell-enriched	0.8460046418287235	5.514320203989423e-26	0.977121698275244			5	0	NOVEL colocalized	4.977121698275244
IL2RA	Other otitis externa (chronic)	Other	Cytokine/Interleukin	2.703888841808721	0.0044236581866256	0.9899209788955968	0.932573452713832	0.0251248232859562	4	3	NOVEL colocalized	4.960764666511016
SERPING1	Chronic lower respiratory diseases	Respiratory	Complement/Coagulation	1.1303163382881682	3.4200512538509883e-06	0.8512999644460612	4.6894044203327206e-11	0.9750718512634338	4	1	NOVEL colocalized	4.944493441533204
SERPING1	Asthma/COPD (KELA code 203)	Respiratory	Complement/Coagulation	1.1531287259911658	9.120254827559267e-06	0.9249494223319904	3.5699687650492246e-10	0.9760775208238516	4	1	NOVEL colocalized	4.932948027722081
LTBR	Diseases of middle ear and mastoid	Other	Cytokine/Interleukin	1.2472441601615565	4.968379101378618e-08	0.9631361026539722	0.8459542639966287	0.0211066808833115	4	1	NOVEL colocalized	4.923893157387926
ERBB2	Acute upper respiratory infections	Respiratory	Immune-cell-enriched	1.4922257750434484	0.0015978431253029	0.8543186866621272			5	3	NOVEL colocalized	4.913611858970619
IL2RA	Nummular dermatitis	Dermatological	Cytokine/Interleukin	2.372477056717302	0.0098875178250422	0.9963090165370628	0.8720473905406048	0.0168055807962416	4	3	NOVEL colocalized	4.897291560648093
SLC12A2	Phlebitis and thrombophlebitis (not including DVT)	Cardiovascular	Immune-cell-enriched	0.5880874038461236	3.082051720907232e-05	0.9946154021900324			3	3	NOVEL colocalized	4.896847417694076
ERBB3	Asthma/COPD (KELA code 203)	Respiratory	Immune-cell-enriched	0.7991801388050095	2.784633483174332e-05	0.9829873063621448	0.4914723376270398	0.0040544814289146	7	2	NOVEL colocalized	4.894033698180837
ACE	Other heart diseases	Cardiovascular	Immune-cell-enriched	1.5277569780940818	0.0088055190207203	0.981609066831604			6	3	NOVEL colocalized	4.892658074925593
PPP3R1	Other disorders of veins	Cardiovascular	Immune-cell-enriched	1.346289355377687	6.407249370969635e-13	0.8819430967094922	0.2177905406335534	0.0393882294193556	2	2	NOVEL colocalized	4.881943096709492
