gene_symbol	disease	immune_class	OR	FDR	PP_H4	pqtl_OR	pqtl_p	pqtl_PPH4	two_population_validated	druggability	fda_target	category_label	tier	action	novelty_priority
SLC12A2	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Immune-cell-enriched	0.6028265127492374	2.765185456140853e-35	0.9970722677192756				True	3	1	NOVEL colocalized	2	agonise / replace	6.497072267719275
SLC12A2	Varicose veins	Immune-cell-enriched	0.52991068060098	2.4572514977852883e-32	0.9966557463629846				True	3	1	NOVEL colocalized	2	agonise / replace	6.496655746362984
PPP3R1	Varicose veins	Immune-cell-enriched	1.4154265581168566	3.2652031223639374e-36	0.9290921059074	1.2668237968467522	0.0492046593819841	0.0409053685794009	True	2	1	NOVEL protein-confirmed	2	block / antagonise	6.4290921059074
PPP3R1	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Immune-cell-enriched	1.2457151905101065	1.6762462806632653e-24	0.8960718397467277	1.2666230108530891	0.0096352024470114	0.0397430085827827	True	2	1	NOVEL protein-confirmed	2	block / antagonise	6.396071839746728
SLC12A2	Other disorders of veins	Immune-cell-enriched	0.5170189731301592	5.0856579266310096e-18	0.9967462690336822				False	3	1	NOVEL colocalized	3	agonise / replace	5.996746269033682
ACE	Cardiovascular diseases (excluding rheumatic etc)	Immune-cell-enriched	1.583523828123102	1.0965465023882905e-07	0.996736208753491				False	3	1	NOVEL colocalized	3	block / antagonise	5.888730797957095
ACE	Hypertension, essential	Immune-cell-enriched	1.5336163437590753	2.417873540704059e-05	0.9171193870621994				False	3	1	NOVEL colocalized	3	block / antagonise	5.34043267052074
PSRC1	Coronary atherosclerosis	Immune-cell-enriched	0.8271831854130581	9.227066656692128e-23	0.9943703078212502				True	0	0	NOVEL colocalized	2	agonise / replace	4.99437030782125
PSRC1	Ischaemic heart disease, wide definition	Immune-cell-enriched	0.8555309876379927	2.3322609932015485e-19	0.9907696290401288				True	0	0	NOVEL colocalized	2	agonise / replace	4.990769629040129
PSRC1	Major coronary heart disease event	Immune-cell-enriched	0.8503219654685883	1.892619105531536e-15	0.9881190066630412				True	0	0	NOVEL colocalized	2	agonise / replace	4.988119006663041
FES	Hypertension	Immune-cell-enriched	0.8468839990603911	1.3034218837950704e-28	0.9776632698994542				False	0	0	NOVEL colocalized	3	agonise / replace	4.977663269899454
FES	Hypertension, essential	Immune-cell-enriched	0.8460046418287235	5.514320203989423e-26	0.977121698275244				False	0	0	NOVEL colocalized	3	agonise / replace	4.977121698275244
SLC12A2	Phlebitis and thrombophlebitis (not including DVT)	Immune-cell-enriched	0.5880874038461236	3.082051720907232e-05	0.9946154021900324				False	3	1	NOVEL colocalized	3	agonise / replace	4.896847417694076
ACE	Other heart diseases	Immune-cell-enriched	1.5277569780940818	0.0088055190207203	0.981609066831604				False	3	1	NOVEL colocalized	3	block / antagonise	4.892658074925593
PPP3R1	Other disorders of veins	Immune-cell-enriched	1.346289355377687	6.407249370969636e-13	0.8819430967094922	1.2244843462264203	0.2177905406335534	0.0393882294193556	False	2	1	NOVEL colocalized	3	block / antagonise	4.881943096709492
ACE	Atrial fibrillation and flutter	Immune-cell-enriched	1.7242700415098282	0.0106466317640309	0.8780526437434321				False	3	1	NOVEL colocalized	3	block / antagonise	4.772610197074154
PSRC1	Myocardial infarction, strict	Immune-cell-enriched	0.8424693750152538	1.7662745744246235e-09	0.9938724024011936				True	0	0	NOVEL colocalized	2	agonise / replace	4.744460758941518
FES	Cardiovascular diseases (excluding rheumatic etc)	Immune-cell-enriched	0.9062755457343252	4.892912436253924e-09	0.9964384392649548				False	0	0	NOVEL colocalized	3	agonise / replace	4.658524950529154
CRIM1	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Immune-cell-enriched	0.7797368781331545	2.2768791040641663e-06	0.951227271445819	0.98478472069639	0.8425117201603323	0.01632862622033	False	1	0	NOVEL colocalized	3	agonise / replace	4.579759277165716
ANXA2	Hypertension	Immune-cell-enriched	1.1095830136652372	0.0024185398060151	0.9966716957964176	1.1533147020572287	0.0031922589105399	0.8686227686377915	False	3	1	NOVEL protein-confirmed	1	block / antagonise	4.519961047855456
PSRC1	Statin medication	Immune-cell-enriched	0.7039508313011591	7.010880726430742e-169	0.9973050678362076				False	0	0	NOVEL colocalized	3	agonise / replace	4.497305067836208
PSRC1	Coronary angioplasty	Immune-cell-enriched	0.7920523353452155	8.679991926240882e-11	0.995277244700832				False	0	0	NOVEL colocalized	3	agonise / replace	4.495277244700832
PSRC1	Coronary revascularization (ANGIO or CABG)	Immune-cell-enriched	0.764284417615305	9.71091607922972e-23	0.992658291673204				False	0	0	NOVEL colocalized	3	agonise / replace	4.492658291673203
PSRC1	Angina pectoris	Immune-cell-enriched	0.8345392103219034	3.571957931353529e-15	0.9908840344689392				False	0	0	NOVEL colocalized	3	agonise / replace	4.490884034468939
PSRC1	Coronary artery bypass grafting	Immune-cell-enriched	0.7160821872163824	1.3669485404645376e-17	0.9885630379614776				False	0	0	NOVEL colocalized	3	agonise / replace	4.488563037961478
PSRC1	Hard cardiovascular diseases	Immune-cell-enriched	0.8831715687216627	2.015969262222108e-11	0.9853911631000072				False	0	0	NOVEL colocalized	3	agonise / replace	4.485391163100007
PLAUR	Major coronary heart disease event	Immune-cell-enriched	1.5867849949293351	6.299007229359608e-06	0.8990723791980968	1.0297237664480383	0.5772435028390417	0.0031423609959316	True	3	1	NOVEL colocalized	2	block / antagonise	4.4392179578402615
IFNGR2	Hypertension	Interferon axis	1.0664311640761612	3.5370441860658856e-05	0.9849415186142572				False	3	1	NOVEL colocalized	3	block / antagonise	4.375213421571028
PLAUR	Myocardial infarction, strict	Immune-cell-enriched	1.7668849711313046	3.649107166599149e-05	0.9865431971898232	1.022447490652771	0.7457713358742573	0.0073259635564994	True	3	1	NOVEL colocalized	2	block / antagonise	4.374105873616415
SPINK8	Hypertension, essential	Immune-cell-enriched	0.8656166385989327	0.0023586484191504	0.8087340426247617	0.8055593271502021	0.0013934172011857	0.1017851121121294	False	1	0	NOVEL protein-confirmed	2	agonise / replace	4.334201400696252
CRIM1	Other disorders of veins	Immune-cell-enriched	0.6634596126608905	3.813264716534677e-05	0.8849813248964952	1.1281801264614228	0.3848755173321505	0.0160508349538854	False	1	0	NOVEL colocalized	3	agonise / replace	4.26872193389475
PLAUR	Ischaemic heart disease, wide definition	Immune-cell-enriched	1.4345602822531534	0.0002043323938804	0.9986740919675596	1.0120479314492483	0.7936794078208596	0.0043829485643118	True	3	1	NOVEL colocalized	2	block / antagonise	4.2366066473554405
ANXA2	Hypertension, essential	Immune-cell-enriched	1.0978341129917932	0.0402294092663976	0.9419999415632092	1.109563883834267	0.0336962358927543	0.3715874924289408	False	3	1	NOVEL protein-confirmed	2	block / antagonise	4.221091210486329
PILRA	Statin medication	Immune-cell-enriched	0.7853774559813638	0.0195064333599407	0.8378751608014253	1.3129512846269635	4.3961213957999234e-07	0.4478704317887248	False	2	0	NOVEL colocalized	2	agonise / replace	4.179839587124453
PLAUR	Coronary revascularization (ANGIO or CABG)	Immune-cell-enriched	1.9389793861465616	1.5327412255168014e-06	0.999134144329099	1.1169092791798798	0.1292135508982441	0.0095922528131442	False	3	1	NOVEL colocalized	3	block / antagonise	4.162040376608918
PLAU	Atherosclerosis, excluding cerebral and coronary sclerosis	Immune-cell-enriched	1.298315235786828	0.0004827150293181	0.976071876616578				False	1	0	NOVEL colocalized	3	block / antagonise	4.13933371246158
IFNGR2	Hypertension, essential	Interferon axis	1.061807825812449	0.0010213912168369	0.9841950273400216				False	3	1	NOVEL colocalized	3	block / antagonise	4.082356603551267
PLAUR	Coronary atherosclerosis	Immune-cell-enriched	1.4336001789743753	0.0039758870475332	0.98671845140571	0.9829761884623572	0.7396302860527735	0.0050655929134038	True	3	1	NOVEL colocalized	2	block / antagonise	3.966831643832579
FES	Diseases of arteries, arterioles and capillaries (FINNGEN)	Immune-cell-enriched	0.8319717857224632	4.617893576200078e-06	0.8465706788489799				False	0	0	NOVEL colocalized	3	agonise / replace	3.913681894856509
PLAUR	Angina pectoris	Immune-cell-enriched	1.6343151706301058	3.5370441860658856e-05	0.9940065044922056	1.0997891395920556	0.1078084469945044	0.0022072902411653	False	3	1	NOVEL colocalized	3	block / antagonise	3.884278407448977
IFNGR2	Cardiovascular diseases (excluding rheumatic etc)	Interferon axis	1.0514795038664553	0.0097793766362862	0.9736162515866412				False	3	1	NOVEL colocalized	3	block / antagonise	3.875554017071846
PLAU	Abdominal aortic aneurysm (AAA)	Immune-cell-enriched	1.5702305386975732	0.0154242546048993	0.983393067926804				False	1	0	NOVEL colocalized	3	block / antagonise	3.84575223084184
FES	Atrial fibrillation and flutter with reimbursement	Immune-cell-enriched	0.8524652064825962	6.869701609959481e-05	0.9870629516873572				False	0	0	NOVEL colocalized	3	agonise / replace	3.81967537696722
CRIM1	Varicose veins	Immune-cell-enriched	0.7787312213399475	0.004456980306756	0.8267049933764232	0.975979905000875	0.8105733570106337	0.0219994497227285	False	1	0	NOVEL colocalized	3	agonise / replace	3.796896850345865
